device,topology,SUPPLY_V,W_um,L_um,BIAS_V,ID_A,JD_mA_per_um,Pdc_mW,NFmin_dB,NF_dB,Rn_Ohm,GammaOpt_mag,GammaOpt_angle_deg,SOpt_real,SOpt_imag,source_jd_file,source_nf_file
nmos03,CG,3.3,10.0,0.28,1.04,0.000529984,0.0529984,1.7489472000000001,0.00162841,8.45026,300.921,0.9964792965363656,1.6502486448653737,0.996066,0.0286969,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.045,0.000538222,0.0538222,1.7761326,0.00162842,8.45536,301.335,0.996477498978883,1.6506542778588906,0.996064,0.0287039,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.035,0.000521778,0.0521778,1.7218673999999998,0.00162846,8.4453,300.52,0.9964810883855698,1.6498315184804697,0.996068,0.0286897,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.05,0.000546492,0.0546492,1.8034236,0.00162849,8.46061,301.76,0.9964756957088768,1.6510484174058147,0.996062,0.0287107,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.03,0.000513606,0.0513606,1.6948998,0.00162857,8.44051,300.133,0.9964828774092207,1.6494086461773725,0.99607,0.0286824,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.055,0.000554794,0.0554794,1.8308201999999998,0.00162862,8.466,302.197,0.9964748863068702,1.6514294064068658,0.996061,0.0287173,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.025,0.000505467,0.0505467,1.6680411,0.00162875,8.43587,299.758,0.9964856574402062,1.648966878609164,0.996073,0.0286748,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.06,0.000563127,0.0563127,1.8583191,0.00162881,8.47152,302.646,0.9964740711838367,1.6517989011024026,0.99606,0.0287237,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.02,0.000497363,0.0497363,1.6412979,0.00162899,8.43141,299.398,0.9964874350675026,1.6485210202190965,0.996075,0.0286671,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.065,0.000571491,0.0571491,1.8859203,0.00162905,8.47716,303.105,0.9964722536347913,1.6521643067184595,0.996058,0.02873,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.015,0.000489293,0.0489293,1.6146669,0.0016293,8.42713,299.053,0.9964902037134183,1.6480562676280188,0.996078,0.0286591,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.07,0.000579885,0.0579885,1.9136205,0.00162934,8.48292,303.574,0.9964714328265712,1.6525223080406342,0.996057,0.0287362,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.01,0.000481259,0.0481259,1.5881546999999998,0.00162968,8.42303,298.723,0.996492966674532,1.6475800228886632,0.996081,0.0286509,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.075,0.000588309,0.0588309,1.9414196999999997,0.00162969,8.4888,304.053,0.9964706034040393,1.6528630675152216,0.996056,0.0287421,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.08,0.000596762,0.0596762,1.9693146,0.00163008,8.49479,304.542,0.9964707736005105,1.6532021687282417,0.996056,0.028748,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.005,0.000473261,0.0473261,1.5617613,0.00163014,8.41913,298.409,0.9964957239558281,1.6470922860884425,0.996084,0.0286425,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.085,0.000605244,0.0605244,1.9973052,0.00163053,8.50088,305.041,0.9964699355916162,1.6535256865509604,0.996055,0.0287536,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.0,0.0004653,0.04653,1.5354899999999998,0.00163067,8.41544,298.112,0.9964994751494906,1.6465914051645738,0.996088,0.0286339,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,1.09,0.000613754,0.0613754,2.0253882,0.00163102,8.50708,305.548,0.9964700971979239,1.6538475454404662,0.996055,0.0287592,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos03,CG,3.3,10.0,0.28,0.995,0.000457376,0.0457376,1.5093408,0.00163129,8.41196,297.832,0.9965022182142897,1.64607493770374,0.996091,0.028625,nmos03_cg_geom_jd_dense.txt,nmos03_cg_geom_nf_dense.txt
nmos05,CG,5.0,20.0,0.6,2.06,0.00241885,0.120943,12.09425,0.000961588,8.66198,320.717,0.9889098944966422,3.2950649959705993,0.987275,0.0568406,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
nmos05,CG,5.0,20.0,0.6,2.065,0.00243023,0.121511,12.15115,0.000961589,8.66715,321.16,0.9889088961498729,3.295068326154984,0.987274,0.0568406,nmos05_cg_geom_jd_nom5v.txt,nmos05_cg_geom_nf_nom5v.txt
