BEST NFMIN POINT PER GEOMETRY
=============================

device          topology  W_m    L_m      VDS_set_V  VBIAS_set_V  JD_mA_per_um  Pdc_mW    gm_ID_1_per_V  gmro     Rin_or_inv_gm_Ohm  NFmin_dB     NF_dB    Rn_Ohm   SOpt_real  SOpt_imag  score      design_score
--------------  --------  -----  -------  ---------  -----------  ------------  --------  -------------  -------  -----------------  -----------  -------  -------  ---------  ---------  ---------  ------------
nfet_06v0       CG        5e-05  6e-07    5          2.065        0.121359      30.3397   0.933519       35.0043  176.537            0.000959579  5.4964   130.142  0.962885   0.139315   0.332064   0.446161    
nfet_05v0       CG        5e-05  6e-07    5          2.065        0.121359      30.3397   0.933519       35.0043  176.537            0.000959579  5.4964   130.142  0.962885   0.139315   0.332064   0.446161    
nfet_05v0       CG        5e-05  7e-07    5          2.05         0.096857      24.2142   1.03353        54.9657  199.79             0.00144169   5.55805  131.791  0.966033   0.155952   0.318832   0.444414    
nfet_06v0       CG        5e-05  7e-07    5          2.05         0.096857      24.2142   1.03353        54.9657  199.79             0.00144169   5.55805  131.791  0.966033   0.155952   0.318832   0.444414    
nfet_06v0       CS        5e-05  6e-07    5          0.69         0.00139258    0.348144  15.1815        85.7559  946.013            0.0068524    5.65825  133.802  0.996603   0.0748635  0.0130985  0.284321    
nfet_05v0       CS        5e-05  6e-07    5          0.69         0.00139258    0.348144  15.1815        85.7559  946.013            0.0068524    5.65825  133.802  0.996603   0.0748635  0.0130985  0.284321    
nfet_05v0       CS        2e-05  6e-07    5          0.805        0.00583421    0.583421  8.73859        58.2164  980.723            0.00839159   7.67881  242.914  0.998989   0.0350228  0.0717593  0.356196    
nfet_06v0       CS        2e-05  6e-07    5          0.805        0.00583421    0.583421  8.73859        58.2164  980.723            0.00839159   7.67881  242.914  0.998989   0.0350228  0.0717593  0.356196    
nfet_03v3       CS        2e-05  2.8e-07  3.3        0.84         0.0234704     1.54905   5.35005        27.5672  398.191            0.00900588   7.59691  237.435  0.998893   0.0366103  0.0993411  0.344185    
nfet_03v3       CS        1e-05  2.8e-07  3.3        0.84         0.0234228     0.772951  5.3512         27.5669  797.83             0.00902511   10.2155  475.401  0.999619   0.0180093  0.122565   0.450132    
nfet_03v3       CS        2e-05  2.8e-07  1.8        0.935        0.0285601     1.02816   4.66022        27.8112  375.668            0.00974885   7.95724  262.296  0.998872   0.037409   0.104853   0.352548    
nfet_03v3       CS        1e-05  2.8e-07  1.8        0.935        0.0285035     0.513062  4.66136        27.813   752.644            0.00976904   10.6079  525.084  0.999616   0.0184101  0.13209    0.463589    
nfet_03v3       CS        2e-05  3.6e-07  3.3        1.025        0.0293925     1.93991   4.18352        59.0306  406.623            0.0123522    8.25637  284.524  0.99853    0.0440437  0.116172   0.370503    
nfet_03v3       CS        1e-05  3.6e-07  3.3        1.03         0.0299649     0.988842  4.12789        58.8844  808.46             0.0123739    10.9199  567.895  0.999513   0.0217536  0.144095   0.479921    
nfet_03v3       CS        2e-05  3.6e-07  1.8        1.09         0.0341813     1.23053   3.75365        58.9979  389.697            0.0128952    8.45365  300.064  0.9985     0.0448136  0.117863   0.372523    
nfet_03v3       CS        1e-05  3.6e-07  1.8        1.09         0.0341259     0.614266  3.75442        59.004   780.502            0.0129174    11.14    600.011  0.999507   0.0221279  0.148822   0.486439    
nfet_06v0       CS        5e-05  7e-07    5          0.77         0.00169102    0.422755  12.3083        94.0052  960.909            0.013982     8.17248  277.667  0.995162   0.09217    0.0530214  0.372403    
nfet_05v0       CS        5e-05  7e-07    5          0.77         0.00169102    0.422755  12.3083        94.0052  960.909            0.013982     8.17248  277.667  0.995162   0.09217    0.0530214  0.372403    
nfet_05v0       CS        1e-05  6e-07    5          1.62         0.0736622     3.68311   1.35994        34.0529  998.239            0.0158274    13.6804  1116.73  0.999655   0.0190743  0.239321   0.623459    
nfet_06v0       CS        1e-05  6e-07    5          1.62         0.0736622     3.68311   1.35994        34.0529  998.239            0.0158274    13.6804  1116.73  0.999655   0.0190743  0.239321   0.623459    
nfet_06v0       CS        2e-05  7e-07    5          0.97         0.00947216    0.947216  5.27934        69.5279  999.864            0.0161056    10.5871  522.145  0.998759   0.0420683  0.132625   0.468236    
nfet_05v0       CS        2e-05  7e-07    5          0.97         0.00947216    0.947216  5.27934        69.5279  999.864            0.0161056    10.5871  522.145  0.998759   0.0420683  0.132625   0.468236    
nfet_03v3       CS        2e-05  5e-07    3.3        1.24         0.0401331     2.64878   2.97151        122.763  419.267            0.0190455    9.32421  377.672  0.997965   0.0539156  0.141635   0.414768    
