DESIGN SHORTLIST
================

This table is usually more useful than pure NFmin ranking.
It ranks usable points by actual NF_dB, power, Rn, SOpt_mag, CG Rin fit, and gm.
Only the best bias point per device/topology/geometry is shown.
For a 50-ohm LNA, start from the top candidates here, then verify S11, gain, NF, stability, and linearity in the full LNA.

device          topology  W_m    L_m      VDS_set_V  VBIAS_set_V  JD_mA_per_um  Pdc_mW    gm_S        gm_ID_1_per_V  gmro     Rin_or_inv_gm_Ohm  NFmin_dB     NF_dB    Rn_Ohm   SOpt_real  SOpt_imag  SOpt_mag  design_score
--------------  --------  -----  -------  ---------  -----------  ------------  --------  ----------  -------------  -------  -----------------  -----------  -------  -------  ---------  ---------  --------  ------------
nfet_10v0_asym  CG        5e-05  6e-07    5          1.815        0.0623146     15.5787   0.00500323  1.60579        256.15   199.871            0.406123     3.08947  51.244   0.907009   0.114535   0.914212  0.200303    
nfet_10v0_asym  CS        5e-05  6e-07    5          1.31         0.0189617     4.74043   0.00337028  3.55483        251.934  296.711            0.268841     5.18269  113.13   0.951648   0.214597   0.975544  0.229272    
nfet_06v0       CS        5e-05  6e-07    5          0.795        0.00528838    1.3221    0.00243642  9.21422        60.192   410.439            0.00818731   4.69482  97.1991  0.995226   0.0871209  0.999032  0.243648    
nfet_05v0       CS        5e-05  6e-07    5          0.795        0.00528838    1.3221    0.00243642  9.21422        60.192   410.439            0.00818731   4.69482  97.1991  0.995226   0.0871209  0.999032  0.243648    
nfet_10v0_asym  CG        5e-05  7e-07    5          2.2          0.0852027     21.3007   0.00500271  1.17431        466.813  199.892            0.462465     3.68009  65.8438  0.913816   0.135214   0.923766  0.269416    
nfet_10v0_asym  CS        5e-05  7e-07    5          1.45         0.021579      5.39474   0.00320982  2.97496        492.119  311.544            0.304378     6.14063  153.104  0.95189    0.228764   0.978993  0.272903    
nfet_10v0_asym  CS        2e-05  6e-07    5          1.28         0.0157627     1.57627   0.00124543  3.95055        252.636  802.936            0.551446     7.63402  237.978  0.966589   0.132288   0.9756    0.315969    
nfet_05v0       CS        5e-05  7e-07    5          0.91         0.00652326    1.63081   0.00217863  6.67958        75.0403  459.004            0.0154772    7.11845  206.96   0.993732   0.10383    0.999141  0.330308    
nfet_06v0       CS        5e-05  7e-07    5          0.91         0.00652326    1.63081   0.00217863  6.67958        75.0403  459.004            0.0154772    7.11845  206.96   0.993732   0.10383    0.999141  0.330308    
nfet_03v3       CS        2e-05  2.8e-07  3.3        0.9          0.0315424     2.0818    0.00279653  4.43298        26.8729  357.586            0.0090522    7.52707  232.849  0.99887    0.0369493  0.999553  0.341988    
nfet_10v0_asym  CS        5e-05  1e-06    5          1.695        0.0256289     6.40723   0.00278728  2.17511        1849.39  358.773            0.371397     7.78823  245.372  0.945982   0.269076   0.983506  0.34801     
nfet_03v3       CS        2e-05  2.8e-07  1.8        1.02         0.0405839     1.46102   0.00298252  3.6745         26.7192  335.287            0.00982007   7.90441  258.519  0.998849   0.0377801  0.999563  0.350005    
nfet_06v0       CS        2e-05  6e-07    5          0.805        0.00583421    0.583421  0.00101966  8.73859        58.2164  980.723            0.00839159   7.67881  242.914  0.998989   0.0350228  0.999602  0.356196    
nfet_05v0       CS        2e-05  6e-07    5          0.805        0.00583421    0.583421  0.00101966  8.73859        58.2164  980.723            0.00839159   7.67881  242.914  0.998989   0.0350228  0.999602  0.356196    
nfet_10v0_asym  CS        2e-05  7e-07    5          1.375        0.0159207     1.59207   0.00113203  3.55522        496.52   883.366            0.608289     8.65104  314.142  0.968882   0.138536   0.978736  0.3594      
nfet_03v3       CS        2e-05  3.6e-07  3.3        1.085        0.0371359     2.45097   0.00266156  3.58354        57.3866  375.72             0.0123768    8.19708  279.987  0.99851    0.0442924  0.999491  0.369321    
nfet_03v3       CS        2e-05  3.6e-07  1.8        1.18         0.0463183     1.66746   0.00281926  3.04335        55.1774  354.703            0.0129462    8.40217  295.937  0.998477   0.0451331  0.999497  0.370681    
nfet_10v0_asym  CS        1e-05  6e-07    5          1.89         0.0645084     3.22542   0.0010011   1.5519         256.76   998.898            0.838366     9.26113  370.006  0.967791   0.10421    0.973385  0.383604    
nfet_05v0       CG        5e-05  6e-07    5          1.625        0.073902      18.4755   0.00500285  1.35391        34.1646  199.886            0.000974098  5.11884  114.957  0.963697   0.139117   0.973686  0.387993    
nfet_06v0       CG        5e-05  6e-07    5          1.625        0.073902      18.4755   0.00500285  1.35391        34.1646  199.886            0.000974098  5.11884  114.957  0.963697   0.139117   0.973686  0.387993    
nfet_06v0       CS        5e-05  1e-06    5          1.34         0.0196699     4.91746   0.00256661  2.60969        164.387  389.619            0.0290056    8.7768   325.61   0.988862   0.14182    0.99898   0.404796    
nfet_05v0       CS        5e-05  1e-06    5          1.34         0.0196699     4.91746   0.00256661  2.60969        164.387  389.619            0.0290056    8.7768   325.61   0.988862   0.14182    0.99898   0.404796    
nfet_03v3       CS        2e-05  5e-07    1.8        1.365        0.0539025     1.94049   0.00258781  2.40045        99.397   386.428            0.0195332    9.40882  386.074  0.997904   0.054996   0.999418  0.411869    
nfet_03v3       CS        2e-05  5e-07    3.3        1.27         0.0437699     2.88881   0.00245171  2.80068        120.906  407.879            0.0190504    9.3012   375.411  0.997957   0.0539943  0.999416  0.41463     
nfet_10v0_asym  CS        2e-05  1e-06    5          1.605        0.0199352     1.99352   0.00100174  2.5125         1942.98  998.261            0.698542     10.1803  467.74   0.970051   0.15611    0.982532  0.427832    
nfet_10v0_asym  CS        1e-05  7e-07    5          2.275        0.0874273     4.37136   0.00100056  1.14445        465.647  999.436            0.903524     10.2727  480.796  0.970396   0.108256   0.976416  0.434747    
nfet_05v0       CG        5e-05  7e-07    5          2.05         0.096857      24.2142   0.00500525  1.03353        54.9657  199.79             0.00144169   5.55805  131.791  0.966033   0.155952   0.97854   0.444414    
nfet_06v0       CG        5e-05  7e-07    5          2.05         0.096857      24.2142   0.00500525  1.03353        54.9657  199.79             0.00144169   5.55805  131.791  0.966033   0.155952   0.97854   0.444414    
nfet_03v3       CS        1e-05  2.8e-07  3.3        0.91         0.0329021     1.08577   0.0014168   4.3061         26.763   705.817            0.00908527   10.1347  465.715  0.99961    0.0182031  0.999775  0.447143    
nfet_03v3       CS        1e-05  2.8e-07  1.8        1.015        0.039765      0.71577   0.00148062  3.72344        26.7848  675.391            0.00983223   10.5493  517.368  0.999608   0.0185873  0.999781  0.4609      
nfet_06v0       CS        2e-05  7e-07    5          0.97         0.00947216    0.947216  0.00100014  5.27934        69.5279  999.864            0.0161056    10.5871  522.145  0.998759   0.0420683  0.999645  0.468236    
nfet_05v0       CS        2e-05  7e-07    5          0.97         0.00947216    0.947216  0.00100014  5.27934        69.5279  999.864            0.0161056    10.5871  522.145  0.998759   0.0420683  0.999645  0.468236    
nfet_03v3       CS        1e-05  3.6e-07  3.3        1.11         0.0404659     1.33538   0.00136634  3.37651        56.7539  731.884            0.012421     10.8517  558.266  0.999504   0.0219066  0.999744  0.477852    
nfet_03v3       CS        1e-05  3.6e-07  1.8        1.19         0.0476598     0.857876  0.00142006  2.97957        54.7746  704.198            0.0129783    11.0827  591.491  0.999499   0.0223035  0.999747  0.484095    
nfet_03v3       CS        1e-05  5e-07    3.3        1.325        0.0506332     1.6709    0.00128061  2.52918        117.733  780.881            0.0191033    12.0109  744.312  0.999345   0.0268003  0.999705  0.529902    
nfet_03v3       CS        1e-05  5e-07    1.8        1.395        0.0577676     1.03982   0.00131837  2.28221        96.0596  758.51             0.019585     12.1468  769.541  0.999335   0.0272885  0.999707  0.531907    
nfet_06v0       CS        2e-05  1e-06    5          1.645        0.0377867     3.77867   0.00130325  1.72449        142.096  767.31             0.0287005    12.013   744.209  0.997908   0.0573821  0.999556  0.541724    
nfet_05v0       CS        2e-05  1e-06    5          1.645        0.0377867     3.77867   0.00130325  1.72449        142.096  767.31             0.0287005    12.013   744.209  0.997908   0.0573821  0.999556  0.541724    
nfet_05v0       CS        1e-05  6e-07    5          1.62         0.0736622     3.68311   0.00100176  1.35994        34.0529  998.239            0.0158274    13.6804  1116.73  0.999655   0.0190743  0.999837  0.623459    
nfet_06v0       CS        1e-05  6e-07    5          1.62         0.0736622     3.68311   0.00100176  1.35994        34.0529  998.239            0.0158274    13.6804  1116.73  0.999655   0.0190743  0.999837  0.623459    
