FILTER REPORT
=============

Rejected point counts:

filter_reason           count
----------------------  -----
near_off_or_too_low_gm  39392
cg_rin_not_near_50ohm   6952 

First rejected examples, sorted by reason and NFmin:

filter_reason          device     topology  W_m    L_m    VBIAS_set_V  ID_A        Pdc_mW   gm_S        Rin_or_inv_gm_Ohm  NFmin_dB     NF_dB  
---------------------  ---------  --------  -----  -----  -----------  ----------  -------  ----------  -----------------  -----------  -------
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.06         0.00241885  12.0943  0.00226607  441.293            0.000961588  8.66198
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.06         0.00241885  12.0943  0.00226607  441.293            0.000961588  8.66198
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.065        0.00243023  12.1511  0.0022685   440.82             0.000961589  8.66715
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.065        0.00243023  12.1511  0.0022685   440.82             0.000961589  8.66715
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.055        0.00240748  12.0374  0.00226362  441.77             0.000961591  8.65681
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.055        0.00240748  12.0374  0.00226362  441.77             0.000961591  8.65681
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.07         0.00244162  12.2081  0.00227092  440.351            0.000961594  8.67234
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.07         0.00244162  12.2081  0.00227092  440.351            0.000961594  8.67234
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.05         0.00239613  11.9807  0.00226117  442.25             0.000961596  8.65164
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.05         0.00239613  11.9807  0.00226117  442.25             0.000961596  8.65164
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.075        0.00245302  12.2651  0.00227333  439.884            0.000961601  8.67753
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.075        0.00245302  12.2651  0.00227333  439.884            0.000961601  8.67753
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.045        0.00238479  11.9239  0.0022587   442.733            0.000961605  8.64647
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.045        0.00238479  11.9239  0.0022587   442.733            0.000961605  8.64647
cg_rin_not_near_50ohm  nfet_06v0  CG        2e-05  6e-07  2.08         0.00246443  12.3221  0.00227572  439.421            0.000961612  8.68272
cg_rin_not_near_50ohm  nfet_05v0  CG        2e-05  6e-07  2.08         0.00246443  12.3221  0.00227572  439.421            0.000961612  8.68272
