BEST PRACTICAL SCORE PER GEOMETRY
=================================

device          topology  W_m    L_m      VDS_set_V  VBIAS_set_V  JD_mA_per_um  Pdc_mW    gm_ID_1_per_V  gmro     Rin_or_inv_gm_Ohm  NFmin_dB     NF_dB    Rn_Ohm   SOpt_real  SOpt_imag  score      design_score
--------------  --------  -----  -------  ---------  -----------  ------------  --------  -------------  -------  -----------------  -----------  -------  -------  ---------  ---------  ---------  ------------
nfet_06v0       CS        5e-05  6e-07    5          0.69         0.00139258    0.348144  15.1815        85.7559  946.013            0.0068524    5.65825  133.802  0.996603   0.0748635  0.0130985  0.284321    
nfet_05v0       CS        5e-05  6e-07    5          0.69         0.00139258    0.348144  15.1815        85.7559  946.013            0.0068524    5.65825  133.802  0.996603   0.0748635  0.0130985  0.284321    
nfet_05v0       CS        5e-05  7e-07    5          0.77         0.00169102    0.422755  12.3083        94.0052  960.909            0.013982     8.17248  277.667  0.995162   0.09217    0.0530214  0.372403    
nfet_06v0       CS        5e-05  7e-07    5          0.77         0.00169102    0.422755  12.3083        94.0052  960.909            0.013982     8.17248  277.667  0.995162   0.09217    0.0530214  0.372403    
nfet_03v3       CS        2e-05  2.8e-07  3.3        0.635        0.0043758     0.288803  11.8588        30.1594  963.543            0.0106772    9.68984  415.414  0.999117   0.034258   0.0694088  0.428764    
nfet_06v0       CS        2e-05  6e-07    5          0.805        0.00583421    0.583421  8.73859        58.2164  980.723            0.00839159   7.67881  242.914  0.998989   0.0350228  0.0717593  0.356196    
nfet_05v0       CS        2e-05  6e-07    5          0.805        0.00583421    0.583421  8.73859        58.2164  980.723            0.00839159   7.67881  242.914  0.998989   0.0350228  0.0717593  0.356196    
nfet_03v3       CS        2e-05  2.8e-07  1.8        0.695        0.00488484    0.175854  11.4498        30.4016  893.97             0.0117701    10.1729  470.158  0.999097   0.0350572  0.078419   0.446171    
nfet_03v3       CS        2e-05  3.6e-07  3.3        0.765        0.00518625    0.342293  10.3309        67.6574  933.207            0.0140519    10.3261  488.787  0.998844   0.0406009  0.0901451  0.453596    
nfet_03v3       CS        2e-05  3.6e-07  1.8        0.8          0.00587528    0.21151   9.87544        71.0466  861.757            0.0147467    10.4496  504.316  0.998798   0.0415891  0.094776   0.456888    
nfet_06v0       CS        5e-05  1e-06    5          0.89         0.00224849    0.562123  9.08399        242.962  979.178            0.030803     10.1819  469.237  0.990144   0.134576   0.105817   0.448764    
nfet_05v0       CS        5e-05  1e-06    5          0.89         0.00224849    0.562123  9.08399        242.962  979.178            0.030803     10.1819  469.237  0.990144   0.134576   0.105817   0.448764    
nfet_03v3       CS        1e-05  2.8e-07  3.3        0.76         0.0141913     0.468313  7.11826        28.5727  989.928            0.0091704    10.5734  520.531  0.999641   0.0176798  0.114101   0.465082    
nfet_03v3       CS        2e-05  5e-07    3.3        0.89         0.00742839    0.490274  7.90036        155.063  851.978            0.020327     10.9412  570.646  0.998345   0.0498869  0.11994    0.478221    
nfet_03v3       CS        1e-05  2.8e-07  1.8        0.815        0.0143613     0.258504  7.0125         29.3171  992.963            0.0100449    11.1138  596.13   0.999644   0.0179831  0.12281    0.486067    
nfet_03v3       CS        2e-05  5e-07    1.8        0.915        0.00831689    0.299408  7.48692        166.913  802.982            0.0210391    10.9814  576.399  0.998272   0.0511162  0.122907   0.478049    
nfet_05v0       CS        2e-05  7e-07    5          0.97         0.00947216    0.947216  5.27934        69.5279  999.864            0.0161056    10.5871  522.145  0.998759   0.0420683  0.132625   0.468236    
nfet_06v0       CS        2e-05  7e-07    5          0.97         0.00947216    0.947216  5.27934        69.5279  999.864            0.0161056    10.5871  522.145  0.998759   0.0420683  0.132625   0.468236    
nfet_03v3       CS        1e-05  3.6e-07  3.3        0.92         0.0174615     0.576231  5.74506        62.3689  996.834            0.0125181    11.2601  618.25   0.999539   0.0213631  0.136754   0.494007    
nfet_03v3       CS        1e-05  3.6e-07  1.8        0.95         0.0179664     0.323396  5.62012        65.2736  990.357            0.0131499    11.5446  663.481  0.999537   0.0216831  0.141852   0.504556    
nfet_03v3       CS        1e-05  5e-07    3.3        1.1          0.0245987     0.811756  4.08381        133.036  995.458            0.0192294    12.3098  800.896  0.999375   0.026414   0.173219   0.541019    
nfet_03v3       CS        1e-05  5e-07    1.8        1.115        0.0248429     0.447172  4.03676        133.046  997.16             0.0197398    12.4858  836.094  0.999371   0.0267352  0.176069   0.546936    
nfet_06v0       CS        2e-05  1e-06    5          1.315        0.0183993     1.83993   2.72027        166.621  998.977            0.0290565    12.3709  812.438  0.997969   0.0568851  0.193555   0.549523    
nfet_05v0       CS        2e-05  1e-06    5          1.315        0.0183993     1.83993   2.72027        166.621  998.977            0.0290565    12.3709  812.438  0.997969   0.0568851  0.193555   0.549523    
nfet_10v0_asym  CS        5e-05  6e-07    5          1.065        0.0054579     1.36448   7.2426         259.627  505.953            0.316407     5.9553   144.673  0.955356   0.211503   0.226178   0.254423    
nfet_06v0       CS        1e-05  6e-07    5          1.62         0.0736622     3.68311   1.35994        34.0529  998.239            0.0158274    13.6804  1116.73  0.999655   0.0190743  0.239321   0.623459    
nfet_05v0       CS        1e-05  6e-07    5          1.62         0.0736622     3.68311   1.35994        34.0529  998.239            0.0158274    13.6804  1116.73  0.999655   0.0190743  0.239321   0.623459    
nfet_10v0_asym  CS        5e-05  7e-07    5          1.155        0.00612278    1.53069   6.21933        516.985  525.216            0.354791     6.96153  195.157  0.955182   0.225696   0.258595   0.295824    
nfet_05v0       CS        1e-05  7e-07    5          2.04         0.0961189     4.80594   1.04144        54.8378  998.981            0.0200381    14.2918  1293.08  0.999589   0.0215564  0.268696   0.661862    
nfet_06v0       CS        1e-05  7e-07    5          2.04         0.0961189     4.80594   1.04144        54.8378  998.981            0.0200381    14.2918  1293.08  0.999589   0.0215564  0.268696   0.661862    
nfet_05v0       CG        5e-05  6e-07    5          1.625        0.073902      18.4755   1.35391        34.1646  199.886            0.000974098  5.11884  114.957  0.963697   0.139117   0.287875   0.387993    
nfet_06v0       CG        5e-05  6e-07    5          1.625        0.073902      18.4755   1.35391        34.1646  199.886            0.000974098  5.11884  114.957  0.963697   0.139117   0.287875   0.387993    
nfet_06v0       CG        5e-05  7e-07    5          2.05         0.096857      24.2142   1.03353        54.9657  199.79             0.00144169   5.55805  131.791  0.966033   0.155952   0.318832   0.444414    
nfet_05v0       CG        5e-05  7e-07    5          2.05         0.096857      24.2142   1.03353        54.9657  199.79             0.00144169   5.55805  131.791  0.966033   0.155952   0.318832   0.444414    
nfet_10v0_asym  CS        5e-05  1e-06    5          1.49         0.0152279     3.80699   2.9719         2058.04  441.93             0.39455      8.16609  272.124  0.94708    0.268344   0.319849   0.353079    
nfet_10v0_asym  CS        2e-05  6e-07    5          1.165        0.00922032    0.922032  5.42553        256.457  999.496            0.561224     7.68918  241.548  0.967241   0.130731   0.368035   0.317284    
nfet_10v0_asym  CS        2e-05  7e-07    5          1.3          0.0118819     1.18819   4.2348         502.342  993.689            0.612972     8.67594  316.183  0.969159   0.137821   0.411371   0.359504    
nfet_10v0_asym  CG        5e-05  6e-07    5          1.815        0.0623146     15.5787   1.60579        256.15   199.871            0.406123     3.08947  51.244   0.907009   0.114535   0.464789   0.200303    
nfet_10v0_asym  CS        2e-05  1e-06    5          1.605        0.0199352     1.99352   2.5125         1942.98  998.261            0.698542     10.1803  467.74   0.970051   0.15611    0.486197   0.427832    
nfet_10v0_asym  CG        5e-05  7e-07    5          2.2          0.0852027     21.3007   1.17431        466.813  199.892            0.462465     3.68009  65.8438  0.913816   0.135214   0.52375    0.269416    
nfet_10v0_asym  CS        1e-05  6e-07    5          1.89         0.0645084     3.22542   1.5519         256.76   998.898            0.838366     9.26113  370.006  0.967791   0.10421    0.556328   0.383604    
nfet_10v0_asym  CS        1e-05  7e-07    5          2.275        0.0874273     4.37136   1.14445        465.647  999.436            0.903524     10.2727  480.796  0.970396   0.108256   0.609016   0.434747    
