VDS_set_V W_m L_m VBIAS_set_V VGS_actual_V VDS_actual_V VBS_actual_V ID_A JD_mA_per_um Pdc_mW gm_S gds_S gm_ID_1_per_V ro_Ohm gmro Rin_CG_est_Ohm NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag SOpt_mag
5.0 0.30e-6 0.60e-6 0.5 0.5 5 0 4.3411E-07 0.00144703 0.00217055 6.6893E-06 7.71875E-08 15.4092 12955500 86.6631 149492 0.00185885 23.9676 12416.7 0.999945 -4.02762E-06 0.999945
5.0 0.30e-6 0.60e-6 0.505 0.505 5 0 4.70518E-07 0.00156839 0.00235259 7.10872E-06 8.33164E-08 15.1083 12002400 85.322 140672 0.00178812 23.7891 11914.9 0.999942 3.5245E-06 0.999942
5.0 0.30e-6 0.60e-6 0.51 0.51 5 0 5.09159E-07 0.0016972 0.00254579 7.5387E-06 8.97656E-08 14.8062 11140100 83.9821 132649 0.00172416 23.6214 11461.6 0.999939 1.12115E-05 0.999939
5.0 0.30e-6 0.60e-6 0.515 0.515 5 0 5.50085E-07 0.00183362 0.00275043 7.97814E-06 9.65342E-08 14.5035 10359000 82.6458 125342 0.00166632 23.4643 11052.6 0.999935 1.9009E-05 0.999935
5.0 0.30e-6 0.60e-6 0.52 0.52 5 0 5.93342E-07 0.00197781 0.00296671 8.42583E-06 1.0362E-07 14.2006 9650690 81.3151 118683 0.00161401 23.3176 10683.8 0.999932 2.68911E-05 0.999932
5.0 0.30e-6 0.60e-6 0.525 0.525 5 0 6.38967E-07 0.00212989 0.00319484 8.88051E-06 1.11017E-07 13.8982 9007590 79.992 112606 0.00156669 23.1812 10352 0.999929 3.48308E-05 0.999929
5.0 0.30e-6 0.60e-6 0.53 0.53 5 0 6.86994E-07 0.00228998 0.00343497 9.34087E-06 1.18722E-07 13.5967 8423050 78.6786 107056 0.00152389 23.0548 10053.8 0.999925 4.28004E-05 0.999925
5.0 0.30e-6 0.60e-6 0.535 0.535 5 0 7.37445E-07 0.00245815 0.00368723 9.80557E-06 1.26725E-07 13.2967 7891090 77.3767 101983 0.00148517 22.9383 9786.43 0.999922 5.07717E-05 0.999922
5.0 0.30e-6 0.60e-6 0.54 0.54 5 0 7.9034E-07 0.00263447 0.0039517 1.02733E-05 1.35018E-07 12.9985 7406420 76.088 97340.2 0.00145014 22.8315 9547.44 0.999919 5.87168E-05 0.999919
5.0 0.30e-6 0.60e-6 0.545 0.545 5 0 8.45687E-07 0.00281896 0.00422843 1.07425E-05 1.4359E-07 12.7028 6964290 74.8143 93087.8 0.00141844 22.734 9334.49 0.999915 6.6608E-05 0.999915
5.0 0.30e-6 0.60e-6 0.55 0.55 5 0 9.03489E-07 0.00301163 0.00451745 1.12121E-05 1.52428E-07 12.4098 6560490 73.5569 89189.3 0.00138975 22.6457 9145.53 0.999912 7.44187E-05 0.999912
5.0 0.30e-6 0.60e-6 0.555 0.555 5 0 9.63743E-07 0.00321248 0.00481872 1.16806E-05 1.61519E-07 12.12 6191230 72.3173 85611.9 0.00136379 22.5662 8978.7 0.999909 8.21233E-05 0.999909
5.0 0.30e-6 0.60e-6 0.56 0.56 5 0 1.02644E-06 0.00342146 0.00513219 1.21468E-05 1.70848E-07 11.8339 5853140 71.0969 82326.3 0.00134029 22.4952 8832.3 0.999906 8.96978E-05 0.999906
5.0 0.30e-6 0.60e-6 0.565 0.565 5 0 1.09155E-06 0.00363852 0.00545777 1.26094E-05 1.80401E-07 11.5518 5543220 69.8966 79306 0.00131902 22.4324 8704.83 0.999902 9.71199E-05 0.999902
5.0 0.30e-6 0.60e-6 0.57 0.57 5 0 1.15907E-06 0.00386357 0.00579535 1.30673E-05 1.90159E-07 11.2739 5258750 68.7175 76527.1 0.00129977 22.3775 8594.88 0.999899 0.00010437 0.999899
5.0 0.30e-6 0.60e-6 0.575 0.575 5 0 1.22895E-06 0.00409651 0.00614477 1.35193E-05 2.00107E-07 11.0007 4997330 67.5606 73968.2 0.00128233 22.3301 8501.21 0.999896 0.000111429 0.999896
5.0 0.30e-6 0.60e-6 0.58 0.58 5 0 1.30117E-06 0.00433724 0.00650585 1.39646E-05 2.10226E-07 10.7323 4.75679E+06 66.4265 71609.9 0.00126654 22.29 8422.67 0.999893 0.000118282 0.999893
5.0 0.30e-6 0.60e-6 0.585 0.585 5 0 1.37568E-06 0.0045856 0.0068784 1.4402E-05 2.20498E-07 10.469 4535180 65.3159 69434.6 0.00125225 22.2569 8358.2 0.999891 0.000124916 0.999891
5.0 0.30e-6 0.60e-6 0.59 0.59 5 0 1.45244E-06 0.00484146 0.00726218 1.4831E-05 2.30906E-07 10.2111 4330760 64.2293 67426.6 0.0012393 22.2303 8306.86 0.999888 0.00013132 0.999888
5.0 0.30e-6 0.60e-6 0.595 0.595 5 0 1.53139E-06 0.00510464 0.00765696 1.52506E-05 2.41431E-07 9.95863 4141960 63.1672 65571.4 0.00122759 22.2099 8267.75 0.999885 0.000137485 0.999885
5.0 0.30e-6 0.60e-6 0.6 0.6 5 0 1.61249E-06 0.00537497 0.00806246 1.56602E-05 2.52056E-07 9.71181 3967370 62.1299 63856.1 0.00121698 22.1954 8240.08 0.999883 0.000143405 0.999883
5.0 0.30e-6 0.60e-6 0.605 0.605 5 0 1.69568E-06 0.00565227 0.0084784 1.60594E-05 2.62762E-07 9.47075 3805720 61.1175 62268.9 0.00120738 22.1865 8223.09 0.99988 0.000149077 0.99988
5.0 0.30e-6 0.60e-6 0.61 0.61 5 0 1.7809E-06 0.00593634 0.00890451 1.64476E-05 2.73533E-07 9.23555 3655870 60.1304 60799.1 0.00119869 22.1828 8216.09 0.999878 0.000154498 0.999878
5.0 0.30e-6 0.60e-6 0.615 0.615 5 0 1.86809E-06 0.00622698 0.00934047 1.68246E-05 2.8435E-07 9.00627 3.51679E+06 59.1684 59436.9 0.00119084 22.184 8218.44 0.999876 0.000159668 0.999876
5.0 0.30e-6 0.60e-6 0.62 0.62 5 0 1.9572E-06 0.00652398 0.00978598 1.71899E-05 2.952E-07 8.78295 3387540 58.2316 58173.5 0.00118374 22.1898 8229.55 0.999874 0.00016459 0.999874
5.0 0.30e-6 0.60e-6 0.625 0.625 5 0 2.04814E-06 0.00682714 0.0102407 1.75436E-05 3.06065E-07 8.56561 3267280 57.3199 57000.8 0.00117733 22.1999 8248.86 0.999872 0.000169265 0.999872
5.0 0.30e-6 0.60e-6 0.63 0.63 5 0 2.14087E-06 0.00713625 0.0107044 1.78854E-05 3.16931E-07 8.35426 3155260 56.4331 55911.5 0.00117154 22.214 8275.84 0.99987 0.000173699 0.99987
5.0 0.30e-6 0.60e-6 0.635 0.635 5 0 2.23532E-06 0.00745108 0.0111766 1.82154E-05 3.27785E-07 8.14887 3050780 55.5711 54898.7 0.00116633 22.2318 8310.01 0.999868 0.000177898 0.999868
5.0 0.30e-6 0.60e-6 0.64 0.64 5 0 2.33143E-06 0.00777143 0.0116572 1.85335E-05 3.38613E-07 7.94942 2953230 54.7336 53956.3 0.00116163 22.253 8350.89 0.999867 0.000181867 0.999867
5.0 0.30e-6 0.60e-6 0.645 0.645 5 0 2.42913E-06 0.0080971 0.0121456 1.88399E-05 3.49402E-07 7.75583 2862030 53.9204 53078.8 0.00115741 22.2773 8398.06 0.999865 0.000185614 0.999865
5.0 0.30e-6 0.60e-6 0.65 0.65 5 0 2.52836E-06 0.00842786 0.0126418 1.91348E-05 3.60143E-07 7.56806 2776680 53.1311 52260.9 0.00115361 22.3045 8451.1 0.999864 0.000189148 0.999864
5.0 0.30e-6 0.60e-6 0.655 0.655 5 0 2.62906E-06 0.00876352 0.0131453 1.94183E-05 3.70823E-07 7.38602 2696700 52.3653 51497.9 0.00115021 22.3343 8509.62 0.999862 0.000192476 0.999862
5.0 0.30e-6 0.60e-6 0.66 0.66 5 0 2.73116E-06 0.00910388 0.0136558 1.96906E-05 3.81434E-07 7.20961 2621680 51.6226 50785.5 0.00114716 22.3664 8573.23 0.999861 0.000195607 0.999861
5.0 0.30e-6 0.60e-6 0.665 0.665 5 0 2.83462E-06 0.00944875 0.0141731 1.99522E-05 3.91967E-07 7.03875 2551230 50.9027 50119.7 0.00114444 22.4007 8641.59 0.99986 0.00019855 0.99986
