N_W_m,N_L_m,P_W_m,P_L_m,VCM,VON,VGN,VGP,NFmin_dB,NF_dB,Rn,SOpt_real,SOpt_imag,N_W_um,N_L_um,P_W_um,P_L_um,Wp_over_Wn
5e-06,2.8e-07,6.6e-07,2.8e-07,0.9,0.35,1.25,0.55,0.00435825,5.48368,126.74,0.999578,0.00717163,5.0,0.28,0.66,0.28,0.132
5e-06,2.8e-07,6.6e-07,3.6e-07,0.9,0.35,1.25,0.55,0.00437985,5.515,128.019,0.99958,0.00717276,5.0,0.28,0.66,0.36,0.132
5e-06,2.8e-07,6.6e-07,5e-07,0.9,0.35,1.25,0.55,0.00438648,5.52449,128.408,0.999581,0.00717307,5.0,0.28,0.66,0.5,0.132
5e-06,2.8e-07,2e-06,2.8e-07,0.9,0.35,1.25,0.55,0.00485266,5.72491,136.834,0.999552,0.00887045,5.0,0.28,2.0,0.28,0.39999999999999997
5e-06,2.8e-07,2e-06,3.6e-07,0.9,0.35,1.25,0.55,0.00490675,5.79633,139.931,0.999557,0.00887273,5.0,0.28,2.0,0.36,0.39999999999999997
5e-06,2.8e-07,2e-06,5e-07,0.9,0.35,1.25,0.55,0.00492316,5.81777,140.871,0.999558,0.00887336,5.0,0.28,2.0,0.5,0.39999999999999997
1e-06,5e-07,2e-05,3.6e-07,0.9,0.625,1.525,0.275,0.00747711,5.12349,112.656,0.998907,0.0256414,1.0,0.5,20.0,0.36,20.000000000000004
1e-06,5e-07,2e-05,2.8e-07,0.9,0.56,1.46,0.34,0.00757186,5.2668,118.112,0.998933,0.0256594,1.0,0.5,20.0,0.28,20.000000000000004
2.2e-07,5e-07,2e-05,2.8e-07,0.9,0.555,1.455,0.345,0.00794907,5.63359,132.928,0.99901,0.0245428,0.22,0.5,20.0,0.28,90.9090909090909
1e-06,5e-07,1e-05,2.8e-07,0.9,0.56,1.46,0.34,0.0081307,7.82195,252.795,0.999541,0.0133015,1.0,0.5,10.0,0.28,10.000000000000002
2.2e-07,5e-07,1e-05,2.8e-07,0.9,0.545,1.445,0.355,0.00877218,8.6838,319.263,0.999609,0.0122136,0.22,0.5,10.0,0.28,45.45454545454545
1e-06,5e-07,2e-05,5e-07,0.9,0.645,1.545,0.255,0.00882562,6.05855,151.73,0.999001,0.0256545,1.0,0.5,20.0,0.5,20.000000000000004
1e-06,5e-07,1e-05,3.6e-07,0.9,0.615,1.515,0.285,0.00909098,8.51137,304.887,0.999568,0.0133001,1.0,0.5,10.0,0.36,10.000000000000002
1e-06,3.6e-07,2e-05,2.8e-07,0.9,0.54,1.44,0.36,0.0096772,6.77301,187.801,0.999077,0.0256926,1.0,0.36,20.0,0.28,20.000000000000004
2.2e-07,5e-07,2e-05,3.6e-07,0.9,0.595,1.495,0.305,0.0101442,7.21231,213.116,0.999149,0.0246149,0.22,0.5,20.0,0.36,90.9090909090909
2.2e-07,3.6e-07,2e-05,2.8e-07,0.9,0.53,1.43,0.37,0.0113857,7.90971,258.949,0.999192,0.0245749,0.22,0.36,20.0,0.28,90.9090909090909
1e-06,5e-07,1e-05,5e-07,0.9,0.63,1.53,0.27,0.0114763,10.1611,468.87,0.99963,0.0133166,1.0,0.5,10.0,0.5,10.000000000000002
1e-06,5e-07,2e-06,2.8e-07,0.9,0.55,1.45,0.35,0.0116418,15.4232,1692.95,0.999915,0.00339521,1.0,0.5,2.0,0.28,2.0
1e-06,3.6e-07,1e-05,2.8e-07,0.9,0.53,1.43,0.37,0.0117215,10.4663,506.656,0.999645,0.0133291,1.0,0.36,10.0,0.28,10.000000000000002
