N_W_m N_L_m P_W_m P_L_m VCM ID_A JD_N_mA_per_um JD_P_mA_per_um VOUT_DC
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.55 3.08017E-07 0.00140008 0.000466693 1.7931
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.60 6.84935E-07 0.00311334 0.00103778 1.78305
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.65 1.30377E-06 0.00592623 0.00197541 1.76345
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.70 2.17264E-06 0.00987563 0.00329188 1.72794
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.75 3.25253E-06 0.0147842 0.00492808 1.65987
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.80 4.2081E-06 0.0191277 0.00637591 1.29444
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.85 3.72315E-06 0.0169234 0.00564113 0.221183
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.90 2.64598E-06 0.0120272 0.00400907 0.0899438
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.95 1.71894E-06 0.00781335 0.00260445 0.0454457
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.00 1.00385E-06 0.00456296 0.00152099 0.0223839
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.05 5.13478E-07 0.00233399 0.000777996 0.0100676
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.10 2.263E-07 0.00102864 0.00034288 0.00400245
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.15 8.68321E-08 0.000394691 0.000131564 0.00140857
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.55 3.07537E-07 0.00139789 0.000465965 1.79044
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.60 6.82649E-07 0.00310295 0.00103432 1.77618
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.65 1.29541E-06 0.00588821 0.00196274 1.74727
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.70 2.1455E-06 0.00975225 0.00325075 1.68975
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.75 3.10302E-06 0.0141046 0.00470154 1.49335
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.80 2.68356E-06 0.012198 0.004066 0.208633
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.85 1.88501E-06 0.00856823 0.00285608 0.0753371
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.90 1.21646E-06 0.00552936 0.00184312 0.0368148
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.95 7.06683E-07 0.0032122 0.00107073 0.0177208
0.22e-6 0.28e-6 0.66e-6 0.36e-6 1.00 3.59672E-07 0.00163487 0.000544958 0.00782126
0.22e-6 0.28e-6 0.66e-6 0.36e-6 1.05 1.57593E-07 0.000716334 0.000238778 0.00305572
0.22e-6 0.28e-6 0.66e-6 0.36e-6 1.10 6.00212E-08 0.000272823 9.09411E-05 0.00105695
0.22e-6 0.28e-6 0.66e-6 0.36e-6 1.15 2.05781E-08 9.35367E-05 3.11789E-05 0.000333316
0.22e-6 0.28e-6 0.66e-6 0.50e-6 0.55 3.06759E-07 0.00139436 0.000464786 1.78612
0.22e-6 0.28e-6 0.66e-6 0.50e-6 0.60 6.78906E-07 0.00308594 0.00102865 1.76489
0.22e-6 0.28e-6 0.66e-6 0.50e-6 0.65 1.28109E-06 0.00582313 0.00194104 1.71946
0.22e-6 0.28e-6 0.66e-6 0.50e-6 0.70 2.08654E-06 0.00948429 0.00316143 1.60616
0.22e-6 0.28e-6 0.66e-6 0.50e-6 0.75 2.06276E-06 0.0093762 0.0031254 0.364298
0.22e-6 0.28e-6 0.66e-6 0.50e-6 0.80 1.48947E-06 0.0067703 0.00225677 0.0759392
0.22e-6 0.28e-6 0.66e-6 0.50e-6 0.85 9.96185E-07 0.00452811 0.00150937 0.0361283
0.22e-6 0.28e-6 0.66e-6 0.50e-6 0.90 6.08428E-07 0.00276558 0.00092186 0.0176829
