N_W_m N_L_m P_W_m P_L_m VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.55 0.207299 39.8007 477524 0.999993 0.00177527
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.60 0.148771 36.8985 244756 0.999991 0.00180198
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.65 0.103296 33.709 117405 0.999988 0.00182609
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.70 0.0736205 30.7566 59465.4 0.999984 0.00183855
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.75 0.0528202 27.8864 30683.1 0.999979 0.00181787
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.80 0.0364799 24.7068 14729.2 0.99997 0.00163975
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.85 0.042455 26.0274 19981.3 0.999974 0.00163657
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.90 0.0664303 29.9114 48940.1 0.999983 0.00168044
0.22e-6 0.28e-6 0.66e-6 0.28e-6 0.95 0.0975067 33.2492 105605 0.999988 0.00168758
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.00 0.143885 36.6483 231048 0.999991 0.00167685
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.05 0.216606 40.2345 527688 0.999994 0.00165589
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.10 0.310126 43.3997 1.09376E+06 0.999995 0.00162386
0.22e-6 0.28e-6 0.66e-6 0.28e-6 1.15 0.38387 45.3143 1.69978E+06 0.999996 0.00157898
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.55 0.162886 37.3756 273178 0.999991 0.00209181
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.60 0.123242 34.9383 155835 0.999989 0.00211644
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.65 0.0881207 32.0147 79463.6 0.999985 0.00213562
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.70 0.0628256 29.0876 40475.3 0.99998 0.00212885
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.75 0.0424277 25.7218 18620.3 0.999972 0.00192903
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.80 0.0481226 26.8319 24058.1 0.999975 0.00187805
0.22e-6 0.28e-6 0.66e-6 0.36e-6 0.85 0.0798825 31.2358 66407.9 0.999984 0.00192255
