VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.30 0.300195 43.0398 1.00678E+06 0.999995 0.00172976
0.35 0.291851 42.796 951807 0.999995 0.00172962
0.40 0.282683 42.5188 892947 0.999995 0.00173209
0.45 0.27144 42.1639 822873 0.999995 0.0017392
0.50 0.251285 41.4865 704029 0.999994 0.00175329
0.55 0.207299 39.8007 477524 0.999993 0.00177527
0.60 0.148771 36.8985 244756 0.999991 0.00180198
0.65 0.103296 33.709 117405 0.999988 0.00182609
0.70 0.0736205 30.7566 59465.4 0.999984 0.00183855
0.75 0.0528202 27.8864 30683.1 0.999979 0.00181787
0.80 0.0364799 24.7068 14729.2 0.99997 0.00163975
0.85 0.042455 26.0274 19981.3 0.999974 0.00163657
0.90 0.0664303 29.9114 48940.1 0.999983 0.00168044
0.95 0.0975067 33.2492 105605 0.999988 0.00168758
1.00 0.143885 36.6483 231048 0.999991 0.00167685
1.05 0.216606 40.2345 527688 0.999994 0.00165589
1.10 0.310126 43.3997 1.09376E+06 0.999995 0.00162386
1.15 0.38387 45.3143 1.69978E+06 0.999996 0.00157898
1.20 0.431361 46.3983 2.18168E+06 0.999997 0.00152157
1.25 0.476327 47.3305 2.70401E+06 0.999997 0.00145638
1.30 0.527005 48.2685 3.3559E+06 0.999997 0.00139248
1.35 0.580618 49.1526 4.11367E+06 0.999997 0.00133906
1.40 0.631335 49.9067 4.89369E+06 0.999998 0.00130092
1.45 0.674803 50.5005 5.61064E+06 0.999998 0.00127768
1.50 0.709805 50.9483 6.22009E+06 0.999998 0.00126612
