VDS_V W_m L_m VGS_V NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag
5.0 0.30e-6 0.60e-6 0.5 0.00185885 23.9676 12416.7 0.999945 -4.02762E-06
5.0 0.30e-6 0.60e-6 0.505 0.00178812 23.7891 11914.9 0.999942 3.5245E-06
5.0 0.30e-6 0.60e-6 0.51 0.00172416 23.6214 11461.6 0.999939 1.12115E-05
5.0 0.30e-6 0.60e-6 0.515 0.00166632 23.4643 11052.6 0.999935 1.9009E-05
5.0 0.30e-6 0.60e-6 0.52 0.00161401 23.3176 10683.8 0.999932 2.68911E-05
5.0 0.30e-6 0.60e-6 0.525 0.00156669 23.1812 10352 0.999929 3.48308E-05
5.0 0.30e-6 0.60e-6 0.53 0.00152389 23.0548 10053.8 0.999925 4.28004E-05
5.0 0.30e-6 0.60e-6 0.535 0.00148517 22.9383 9786.43 0.999922 5.07717E-05
5.0 0.30e-6 0.60e-6 0.54 0.00145014 22.8315 9547.44 0.999919 5.87168E-05
5.0 0.30e-6 0.60e-6 0.545 0.00141844 22.734 9334.49 0.999915 6.6608E-05
5.0 0.30e-6 0.60e-6 0.55 0.00138975 22.6457 9145.53 0.999912 7.44187E-05
5.0 0.30e-6 0.60e-6 0.555 0.00136379 22.5662 8978.7 0.999909 8.21233E-05
5.0 0.30e-6 0.60e-6 0.56 0.00134029 22.4952 8832.3 0.999906 8.96978E-05
5.0 0.30e-6 0.60e-6 0.565 0.00131902 22.4324 8704.83 0.999902 9.71199E-05
5.0 0.30e-6 0.60e-6 0.57 0.00129977 22.3775 8594.88 0.999899 0.00010437
5.0 0.30e-6 0.60e-6 0.575 0.00128233 22.3301 8501.21 0.999896 0.000111429
5.0 0.30e-6 0.60e-6 0.58 0.00126654 22.29 8422.67 0.999893 0.000118282
5.0 0.30e-6 0.60e-6 0.585 0.00125225 22.2569 8358.2 0.999891 0.000124916
5.0 0.30e-6 0.60e-6 0.59 0.0012393 22.2303 8306.86 0.999888 0.00013132
5.0 0.30e-6 0.60e-6 0.595 0.00122759 22.2099 8267.75 0.999885 0.000137485
5.0 0.30e-6 0.60e-6 0.6 0.00121698 22.1954 8240.08 0.999883 0.000143405
5.0 0.30e-6 0.60e-6 0.605 0.00120738 22.1865 8223.09 0.99988 0.000149077
5.0 0.30e-6 0.60e-6 0.61 0.00119869 22.1828 8216.09 0.999878 0.000154498
5.0 0.30e-6 0.60e-6 0.615 0.00119084 22.184 8218.44 0.999876 0.000159668
5.0 0.30e-6 0.60e-6 0.62 0.00118374 22.1898 8229.55 0.999874 0.00016459
5.0 0.30e-6 0.60e-6 0.625 0.00117733 22.1999 8248.86 0.999872 0.000169265
5.0 0.30e-6 0.60e-6 0.63 0.00117154 22.214 8275.84 0.99987 0.000173699
5.0 0.30e-6 0.60e-6 0.635 0.00116633 22.2318 8310.01 0.999868 0.000177898
5.0 0.30e-6 0.60e-6 0.64 0.00116163 22.253 8350.89 0.999867 0.000181867
5.0 0.30e-6 0.60e-6 0.645 0.00115741 22.2773 8398.06 0.999865 0.000185614
5.0 0.30e-6 0.60e-6 0.65 0.00115361 22.3045 8451.1 0.999864 0.000189148
5.0 0.30e-6 0.60e-6 0.655 0.00115021 22.3343 8509.62 0.999862 0.000192476
5.0 0.30e-6 0.60e-6 0.66 0.00114716 22.3664 8573.23 0.999861 0.000195607
5.0 0.30e-6 0.60e-6 0.665 0.00114444 22.4007 8641.59 0.99986 0.00019855
5.0 0.30e-6 0.60e-6 0.67 0.00114202 22.4369 8714.35 0.999859 0.000201315
5.0 0.30e-6 0.60e-6 0.675 0.00113986 22.4748 8791.19 0.999858 0.00020391
5.0 0.30e-6 0.60e-6 0.68 0.00113794 22.5142 8871.78 0.999857 0.000206345
5.0 0.30e-6 0.60e-6 0.685 0.00113625 22.5549 8955.82 0.999856 0.000208627
5.0 0.30e-6 0.60e-6 0.69 0.00113475 22.5968 9043.04 0.999855 0.000210766
5.0 0.30e-6 0.60e-6 0.695 0.00113344 22.6396 9133.14 0.999854 0.00021277
5.0 0.30e-6 0.60e-6 0.7 0.00113228 22.6832 9225.85 0.999853 0.000214648
5.0 0.30e-6 0.60e-6 0.705 0.00113127 22.7275 9320.93 0.999853 0.000216406
5.0 0.30e-6 0.60e-6 0.71 0.00113039 22.7723 9418.13 0.999852 0.000218052
5.0 0.30e-6 0.60e-6 0.715 0.00112963 22.8175 9517.19 0.999852 0.000219595
5.0 0.30e-6 0.60e-6 0.72 0.00112897 22.863 9617.91 0.999851 0.000221039
5.0 0.30e-6 0.60e-6 0.725 0.0011284 22.9086 9720.05 0.999851 0.000222392
5.0 0.30e-6 0.60e-6 0.73 0.0011279 22.9543 9823.41 0.99985 0.00022366
5.0 0.30e-6 0.60e-6 0.735 0.00112748 23 9927.79 0.99985 0.000224849
5.0 0.30e-6 0.60e-6 0.74 0.00112712 23.0456 10033 0.999849 0.000225963
5.0 0.30e-6 0.60e-6 0.745 0.00112681 23.0909 10138.8 0.999849 0.000227008
5.0 0.30e-6 0.60e-6 0.75 0.00112654 23.136 10245.2 0.999849 0.000227989
5.0 0.30e-6 0.60e-6 0.755 0.00112631 23.1807 10351.8 0.999848 0.000228911
