VDS_V W_m L_m VGS_V ID_A JD_mA_per_um
5.0 0.30e-6 0.60e-6 0.5 4.3411E-07 0.00144703
5.0 0.30e-6 0.60e-6 0.505 4.70518E-07 0.00156839
5.0 0.30e-6 0.60e-6 0.51 5.09159E-07 0.0016972
5.0 0.30e-6 0.60e-6 0.515 5.50085E-07 0.00183362
5.0 0.30e-6 0.60e-6 0.52 5.93342E-07 0.00197781
5.0 0.30e-6 0.60e-6 0.525 6.38967E-07 0.00212989
5.0 0.30e-6 0.60e-6 0.53 6.86994E-07 0.00228998
5.0 0.30e-6 0.60e-6 0.535 7.37445E-07 0.00245815
5.0 0.30e-6 0.60e-6 0.54 7.9034E-07 0.00263447
5.0 0.30e-6 0.60e-6 0.545 8.45687E-07 0.00281896
5.0 0.30e-6 0.60e-6 0.55 9.03489E-07 0.00301163
5.0 0.30e-6 0.60e-6 0.555 9.63743E-07 0.00321248
5.0 0.30e-6 0.60e-6 0.56 1.02644E-06 0.00342146
5.0 0.30e-6 0.60e-6 0.565 1.09155E-06 0.00363852
5.0 0.30e-6 0.60e-6 0.57 1.15907E-06 0.00386357
5.0 0.30e-6 0.60e-6 0.575 1.22895E-06 0.00409651
5.0 0.30e-6 0.60e-6 0.58 1.30117E-06 0.00433724
5.0 0.30e-6 0.60e-6 0.585 1.37568E-06 0.0045856
5.0 0.30e-6 0.60e-6 0.59 1.45244E-06 0.00484146
5.0 0.30e-6 0.60e-6 0.595 1.53139E-06 0.00510464
5.0 0.30e-6 0.60e-6 0.6 1.61249E-06 0.00537497
5.0 0.30e-6 0.60e-6 0.605 1.69568E-06 0.00565227
5.0 0.30e-6 0.60e-6 0.61 1.7809E-06 0.00593634
5.0 0.30e-6 0.60e-6 0.615 1.86809E-06 0.00622698
5.0 0.30e-6 0.60e-6 0.62 1.9572E-06 0.00652398
5.0 0.30e-6 0.60e-6 0.625 2.04814E-06 0.00682714
5.0 0.30e-6 0.60e-6 0.63 2.14087E-06 0.00713625
5.0 0.30e-6 0.60e-6 0.635 2.23532E-06 0.00745108
5.0 0.30e-6 0.60e-6 0.64 2.33143E-06 0.00777143
5.0 0.30e-6 0.60e-6 0.645 2.42913E-06 0.0080971
