VDS_V W_m L_m VGS_V NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag
5.0 0.30e-6 0.60e-6 0.5 0.00645588 26.2582 21074.9 0.999996 -0.000209112
5.0 0.30e-6 0.60e-6 0.505 0.00644523 26.0894 20269.3 0.999996 -0.00020561
5.0 0.30e-6 0.60e-6 0.51 0.00644215 25.9299 19536.6 0.999996 -0.000202026
5.0 0.30e-6 0.60e-6 0.515 0.00644631 25.7799 18871.5 0.999996 -0.000198372
5.0 0.30e-6 0.60e-6 0.52 0.00645732 25.6393 18268.9 0.999996 -0.00019466
5.0 0.30e-6 0.60e-6 0.525 0.00647482 25.5082 17724.2 0.999996 -0.000190902
5.0 0.30e-6 0.60e-6 0.53 0.00649842 25.3865 17233.2 0.999996 -0.000187111
5.0 0.30e-6 0.60e-6 0.535 0.00652773 25.2742 16791.7 0.999996 -0.000183301
5.0 0.30e-6 0.60e-6 0.54 0.00656237 25.171 16396.2 0.999995 -0.000179486
5.0 0.30e-6 0.60e-6 0.545 0.00660195 25.0767 16043.3 0.999995 -0.000175678
5.0 0.30e-6 0.60e-6 0.55 0.00664609 24.9913 15729.8 0.999995 -0.000171892
5.0 0.30e-6 0.60e-6 0.555 0.00669444 24.9145 15453 0.999995 -0.00016814
5.0 0.30e-6 0.60e-6 0.56 0.00674664 24.8459 15210.2 0.999995 -0.000164433
5.0 0.30e-6 0.60e-6 0.565 0.00680236 24.7854 14999.1 0.999995 -0.000160785
5.0 0.30e-6 0.60e-6 0.57 0.00686128 24.7327 14817.5 0.999995 -0.000157205
5.0 0.30e-6 0.60e-6 0.575 0.0069231 24.6874 14663.3 0.999995 -0.000153703
5.0 0.30e-6 0.60e-6 0.58 0.00698753 24.6493 14534.8 0.999994 -0.000150287
5.0 0.30e-6 0.60e-6 0.585 0.00705431 24.618 14430.2 0.999994 -0.000146965
5.0 0.30e-6 0.60e-6 0.59 0.0071232 24.5933 14348 0.999994 -0.000143744
5.0 0.30e-6 0.60e-6 0.595 0.00719395 24.5748 14286.7 0.999994 -0.000140627
5.0 0.30e-6 0.60e-6 0.6 0.00726637 24.5622 14245.1 0.999994 -0.00013762
5.0 0.30e-6 0.60e-6 0.605 0.00734025 24.5551 14221.8 0.999994 -0.000134726
5.0 0.30e-6 0.60e-6 0.61 0.00741541 24.5533 14215.8 0.999994 -0.000131946
5.0 0.30e-6 0.60e-6 0.615 0.00749169 24.5564 14226 0.999994 -0.000129281
5.0 0.30e-6 0.60e-6 0.62 0.00756894 24.5641 14251.4 0.999994 -0.000126732
5.0 0.30e-6 0.60e-6 0.625 0.00764701 24.5761 14291 0.999994 -0.000124298
5.0 0.30e-6 0.60e-6 0.63 0.00772578 24.5921 14344.1 0.999994 -0.000121978
5.0 0.30e-6 0.60e-6 0.635 0.00780513 24.6119 14409.6 0.999994 -0.000119769
5.0 0.30e-6 0.60e-6 0.64 0.00788495 24.635 14487 0.999994 -0.00011767
5.0 0.30e-6 0.60e-6 0.645 0.00796514 24.6614 14575.4 0.999994 -0.000115677
5.0 0.30e-6 0.60e-6 0.65 0.0080456 24.6906 14674.1 0.999994 -0.000113788
5.0 0.30e-6 0.60e-6 0.655 0.00812625 24.7225 14782.5 0.999994 -0.000111998
5.0 0.30e-6 0.60e-6 0.66 0.008207 24.7567 14900 0.999994 -0.000110303
5.0 0.30e-6 0.60e-6 0.665 0.00828778 24.7931 15025.8 0.999994 -0.000108701
5.0 0.30e-6 0.60e-6 0.67 0.00836851 24.8314 15159.5 0.999994 -0.000107187
5.0 0.30e-6 0.60e-6 0.675 0.00844912 24.8715 15300.4 0.999994 -0.000105757
5.0 0.30e-6 0.60e-6 0.68 0.00852955 24.9131 15448.1 0.999994 -0.000104407
5.0 0.30e-6 0.60e-6 0.685 0.00860974 24.956 15601.9 0.999994 -0.000103133
5.0 0.30e-6 0.60e-6 0.69 0.00868962 25 15761.4 0.999994 -0.00010193
5.0 0.30e-6 0.60e-6 0.695 0.00876913 25.045 15926.1 0.999994 -0.000100796
