VGS NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.35 0.00523077 6.98986 199.999 0.999599 0.0141501
0.40 0.00986377 11.562 666.381 0.999723 0.0146319
0.45 0.0176268 16.0741 1974.65 0.999782 0.0151892
0.50 0.0259134 19.0186 3938.4 0.9998 0.0157932
0.55 0.0258976 18.6714 3631.99 0.999783 0.0164033
0.60 0.0207861 16.4789 2172.42 0.999746 0.0169797
0.65 0.0167317 14.3741 1318.82 0.999701 0.0174932
0.70 0.0143115 12.8504 913.77 0.999659 0.017929
0.75 0.0129536 11.8557 716.494 0.999625 0.0182857
0.80 0.0122165 11.2436 615.725 0.999599 0.0185705
0.90 0.0116634 10.6853 535.42 0.999569 0.0189704
1.00 0.0116299 10.5515 517.657 0.999557 0.0192189
1.10 0.0117869 10.5892 522.6 0.999552 0.0193834
1.20 0.0120235 10.7011 537.542 0.999552 0.0195058
