W_m L_m VSG ID_A JD_mA_per_um
0.22e-6 0.28e-6 0.35 4.98426E-11 2.26557E-07
0.22e-6 0.28e-6 0.40 1.80023E-10 8.18289E-07
0.22e-6 0.28e-6 0.45 6.43763E-10 2.92619E-06
0.22e-6 0.28e-6 0.50 2.20918E-09 1.00417E-05
0.22e-6 0.28e-6 0.55 7.1346E-09 3.243E-05
0.22e-6 0.28e-6 0.60 2.14343E-08 9.74288E-05
0.22e-6 0.28e-6 0.65 5.87075E-08 0.000266852
0.22e-6 0.28e-6 0.70 1.41401E-07 0.000642733
0.22e-6 0.28e-6 0.75 2.9302E-07 0.00133191
0.22e-6 0.28e-6 0.80 5.27335E-07 0.00239698
0.22e-6 0.28e-6 0.90 1.24544E-06 0.00566109
0.22e-6 0.28e-6 1.00 2.2586E-06 0.0102663
0.22e-6 0.28e-6 1.10 3.5253E-06 0.0160241
0.22e-6 0.28e-6 1.20 5.01587E-06 0.0227994
0.22e-6 0.36e-6 0.35 9.69285E-12 4.40584E-08
0.22e-6 0.36e-6 0.40 3.1714E-11 1.44155E-07
0.22e-6 0.36e-6 0.45 1.13319E-10 5.15088E-07
0.22e-6 0.36e-6 0.50 4.05621E-10 1.84373E-06
0.22e-6 0.36e-6 0.55 1.39858E-09 6.3572E-06
0.22e-6 0.36e-6 0.60 4.54823E-09 2.06738E-05
0.22e-6 0.36e-6 0.65 1.3798E-08 6.2718E-05
0.22e-6 0.36e-6 0.70 3.82887E-08 0.00017404
0.22e-6 0.36e-6 0.75 9.36327E-08 0.000425603
0.22e-6 0.36e-6 0.80 1.97026E-07 0.000895571
0.22e-6 0.36e-6 0.90 5.84179E-07 0.00265536
0.22e-6 0.36e-6 1.00 1.20886E-06 0.00549481
0.22e-6 0.36e-6 1.10 2.0443E-06 0.00929228
0.22e-6 0.36e-6 1.20 3.06886E-06 0.0139494
0.22e-6 0.50e-6 0.35 4.14862E-12 1.88574E-08
0.22e-6 0.50e-6 0.40 1.07752E-11 4.89781E-08
0.22e-6 0.50e-6 0.45 3.56973E-11 1.6226E-07
0.22e-6 0.50e-6 0.50 1.27075E-10 5.77613E-07
0.22e-6 0.50e-6 0.55 4.48117E-10 2.0369E-06
0.22e-6 0.50e-6 0.60 1.50882E-09 6.85827E-06
0.22e-6 0.50e-6 0.65 4.76808E-09 2.16731E-05
0.22e-6 0.50e-6 0.70 1.39779E-08 6.3536E-05
0.22e-6 0.50e-6 0.75 3.6941E-08 0.000167914
0.22e-6 0.50e-6 0.80 8.49379E-08 0.000386082
0.22e-6 0.50e-6 0.90 2.92313E-07 0.00132869
0.22e-6 0.50e-6 1.00 6.63195E-07 0.00301452
0.22e-6 0.50e-6 1.10 1.18614E-06 0.00539156
0.22e-6 0.50e-6 1.20 1.84841E-06 0.00840187
1e-6 0.28e-6 0.35 7.63469E-11 7.63469E-08
1e-6 0.28e-6 0.40 2.82083E-10 2.82083E-07
1e-6 0.28e-6 0.45 1.03524E-09 1.03524E-06
1e-6 0.28e-6 0.50 3.68561E-09 3.68561E-06
1e-6 0.28e-6 0.55 1.24713E-08 1.24713E-05
1e-6 0.28e-6 0.60 3.94827E-08 3.94827E-05
1e-6 0.28e-6 0.65 1.1565E-07 0.00011565
1e-6 0.28e-6 0.70 3.06292E-07 0.000306292
1e-6 0.28e-6 0.75 7.09134E-07 0.000709134
1e-6 0.28e-6 0.80 1.41513E-06 0.00141513
1e-6 0.28e-6 0.90 3.86782E-06 0.00386782
1e-6 0.28e-6 1.00 7.59351E-06 0.00759351
1e-6 0.28e-6 1.10 1.23773E-05 0.0123773
1e-6 0.28e-6 1.20 1.80581E-05 0.0180581
1e-6 0.36e-6 0.35 1.49694E-11 1.49694E-08
1e-6 0.36e-6 0.40 5.20416E-11 5.20416E-08
1e-6 0.36e-6 0.45 1.91418E-10 1.91418E-07
1e-6 0.36e-6 0.50 7.0327E-10 7.0327E-07
1e-6 0.36e-6 0.55 2.50925E-09 2.50925E-06
1e-6 0.36e-6 0.60 8.51335E-09 8.51335E-06
1e-6 0.36e-6 0.65 2.70724E-08 2.70724E-05
1e-6 0.36e-6 0.70 7.98631E-08 7.98631E-05
1e-6 0.36e-6 0.75 2.13115E-07 0.000213115
1e-6 0.36e-6 0.80 4.96229E-07 0.000496229
