W_m L_m VSG NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.28e-6 0.35 0.0146729 17.6182 2839.27 0.99994 0.000262894
0.22e-6 0.28e-6 0.40 0.0241819 21.9017 7697.06 0.999964 0.00027468
0.22e-6 0.28e-6 0.45 0.0389968 26.0217 19955.3 0.999977 0.000291503
0.22e-6 0.28e-6 0.50 0.0611081 29.8969 48776.5 0.999986 0.000312476
0.22e-6 0.28e-6 0.55 0.0920573 33.4285 110058 0.99999 0.000334888
0.22e-6 0.28e-6 0.60 0.126811 36.1831 207573 0.999993 0.000355531
0.22e-6 0.28e-6 0.65 0.141312 37.0994 256347 0.999994 0.000372347
0.22e-6 0.28e-6 0.70 0.12386 35.9357 196077 0.999993 0.00038492
0.22e-6 0.28e-6 0.75 0.101671 34.2073 131685 0.999991 0.000393889
0.22e-6 0.28e-6 0.80 0.0867506 32.819 95640.3 0.999989 0.000400203
0.22e-6 0.28e-6 0.90 0.0719282 31.1794 65550.9 0.999987 0.000407752
0.22e-6 0.28e-6 1.00 0.0651758 30.3164 53728.1 0.999986 0.00041175
0.22e-6 0.28e-6 1.10 0.0611817 29.7625 47289 0.999985 0.000414344
0.22e-6 0.28e-6 1.20 0.058502 29.37 43198.2 0.999984 0.000416289
0.22e-6 0.36e-6 0.35 0.00761234 12.1212 764.882 0.999885 0.000303503
0.22e-6 0.36e-6 0.40 0.0118675 15.8113 1855.9 0.999926 0.000312788
0.22e-6 0.36e-6 0.45 0.0190229 19.8277 4755.56 0.999954 0.000327142
0.22e-6 0.36e-6 0.50 0.0300128 23.7412 11783 0.999971 0.000347732
0.22e-6 0.36e-6 0.55 0.0462635 27.4588 27801.4 0.999981 0.00037359
0.22e-6 0.36e-6 0.60 0.0693118 30.9264 61838.1 0.999987 0.000401429
0.22e-6 0.36e-6 0.65 0.0984182 33.9274 123464 0.999991 0.000427229
0.22e-6 0.36e-6 0.70 0.12405 35.8983 194399 0.999993 0.000448328
0.22e-6 0.36e-6 0.75 0.128835 36.1955 208170 0.999993 0.000464126
0.22e-6 0.36e-6 0.80 0.116571 35.3032 169495 0.999992 0.00047539
0.22e-6 0.36e-6 0.90 0.0933416 33.3437 107928 0.99999 0.000488593
0.22e-6 0.36e-6 1.00 0.081754 32.1764 82479.4 0.999988 0.000495134
0.22e-6 0.36e-6 1.10 0.0751033 31.4291 69432.5 0.999987 0.000499006
0.22e-6 0.36e-6 1.20 0.0706172 30.8864 61270.7 0.999987 0.000501696
0.22e-6 0.50e-6 0.35 0.00536714 9.34836 380.334 0.999837 0.000383715
0.22e-6 0.50e-6 0.40 0.00734523 11.8239 710.963 0.999881 0.000392924
0.22e-6 0.50e-6 0.45 0.0111033 15.2355 1619.25 0.999921 0.000408023
0.22e-6 0.50e-6 0.50 0.0170515 18.861 3796.54 0.999948 0.000430892
0.22e-6 0.50e-6 0.55 0.0258741 22.4083 8655.55 0.999965 0.000461989
0.22e-6 0.50e-6 0.60 0.038673 25.8228 19059.6 0.999977 0.000498564
0.22e-6 0.50e-6 0.65 0.0564166 29.0211 39860.1 0.999984 0.000535399
0.22e-6 0.50e-6 0.70 0.07842 31.8029 75678 0.999988 0.000567592
0.22e-6 0.50e-6 0.75 0.100021 33.8493 121260 0.99999 0.000592783
0.22e-6 0.50e-6 0.80 0.113016 34.8583 152990 0.999991 0.000611136
0.22e-6 0.50e-6 0.90 0.111077 34.6422 145560 0.999991 0.000632684
0.22e-6 0.50e-6 1.00 0.101613 33.8329 120803 0.99999 0.000643031
0.22e-6 0.50e-6 1.10 0.0942295 33.1548 103332 0.999989 0.000648824
0.22e-6 0.50e-6 1.20 0.0885549 32.5983 90898.7 0.999989 0.000652633
1e-6 0.28e-6 0.35 0.00473408 8.3451 291.57 0.999812 0.00117333
1e-6 0.28e-6 0.40 0.0079512 12.3947 817.84 0.999887 0.00120983
1e-6 0.28e-6 0.45 0.0132004 16.5954 2233 0.999931 0.00126647
1e-6 0.28e-6 0.50 0.0213108 20.6314 5732.41 0.999956 0.00134604
1e-6 0.28e-6 0.55 0.0333868 24.415 13768.7 0.999971 0.00144285
1e-6 0.28e-6 0.60 0.0500374 27.8076 30131 0.99998 0.00154368
1e-6 0.28e-6 0.65 0.0675742 30.3 53526.1 0.999984 0.00163448
1e-6 0.28e-6 0.70 0.0730915 30.8823 61213.6 0.999985 0.0017072
1e-6 0.28e-6 0.75 0.0640048 29.6534 46114.5 0.999982 0.00176102
1e-6 0.28e-6 0.80 0.0536207 28.061 31944.2 0.999979 0.00179925
1e-6 0.28e-6 0.90 0.0424014 25.9558 19654 0.999973 0.00184431
1e-6 0.28e-6 1.00 0.0378306 24.9298 15507.9 0.99997 0.00186707
1e-6 0.28e-6 1.10 0.0354332 24.3386 13527.7 0.999968 0.00188094
1e-6 0.28e-6 1.20 0.0339325 23.946 12354.3 0.999967 0.00189086
1e-6 0.36e-6 0.35 0.00261031 4.43768 88.9114 0.999661 0.00134902
1e-6 0.36e-6 0.40 0.00399124 7.10506 206.729 0.999777 0.0013796
1e-6 0.36e-6 0.45 0.00650027 10.7464 543.753 0.999861 0.00142693
1e-6 0.36e-6 0.50 0.0105315 14.6447 1406.92 0.999913 0.00149986
1e-6 0.36e-6 0.55 0.0166838 18.4487 3448.2 0.999943 0.0016015
1e-6 0.36e-6 0.60 0.0258456 22.0675 7998.56 0.999961 0.00172418
1e-6 0.36e-6 0.65 0.0388022 25.4054 17308.3 0.999972 0.00185087
1e-6 0.36e-6 0.70 0.0545626 28.1837 32861.2 0.999979 0.00196403
1e-6 0.36e-6 0.75 0.0669216 29.8039 47742.4 0.999982 0.00205406
1e-6 0.36e-6 0.80 0.0681552 29.8455 48202.7 0.999981 0.00212035
1e-6 0.36e-6 0.90 0.0563417 28.048 31848.5 0.999977 0.00219882
1e-6 0.36e-6 1.00 0.0488826 26.7399 23552.5 0.999974 0.00223669
1e-6 0.36e-6 1.10 0.0448792 25.9525 19639 0.999971 0.00225788
1e-6 0.36e-6 1.20 0.0423181 25.4102 17327.5 0.999969 0.00227188
1e-6 0.50e-6 0.35 0.00197453 3.05062 50.9327 0.999552 0.00168725
1e-6 0.50e-6 0.40 0.00259151 4.3829 87.1703 0.999656 0.00171703
1e-6 0.50e-6 0.45 0.00390017 6.90897 195.396 0.999769 0.00176853
1e-6 0.50e-6 0.50 0.00611186 10.1801 471.172 0.999849 0.00184972
1e-6 0.50e-6 0.55 0.00952045 13.6444 1107.19 0.999899 0.00196927
1e-6 0.50e-6 0.60 0.0146719 17.0765 2500.47 0.99993 0.00212434
1e-6 0.50e-6 0.65 0.0223308 20.3924 5422.83 0.99995 0.00229703
1e-6 0.50e-6 0.70 0.0329786 23.4514 11018.9 0.999963 0.002462
1e-6 0.50e-6 0.75 0.0457799 26.0142 19920.5 0.99997 0.00260006
1e-6 0.50e-6 0.80 0.0574922 27.7686 29860.7 0.999974 0.00270494
1e-6 0.50e-6 0.90 0.0652865 28.5928 36111.9 0.999975 0.00283092
1e-6 0.50e-6 1.00 0.0621425 28.0207 31648.4 0.999973 0.00289075
1e-6 0.50e-6 1.10 0.0585747 27.4225 27569.7 0.999971 0.00292274
1e-6 0.50e-6 1.20 0.0556466 26.9182 24541.6 0.99997 0.00294281
5e-6 0.28e-6 0.35 0.00183295 2.60132 41.0123 0.999469 0.00581184
