W_m L_m VSG NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.28e-6 0.35 0.00104341 17.6178 2839.02 0.999996 -0.000400241
0.22e-6 0.28e-6 0.40 0.00201438 21.9013 7696.38 0.999997 -0.00038846
0.22e-6 0.28e-6 0.45 0.0038986 26.0214 19953.5 0.999998 -0.000371639
0.22e-6 0.28e-6 0.50 0.00735545 29.8965 48772.2 0.999998 -0.000350666
0.22e-6 0.28e-6 0.55 0.0130601 33.4281 110049 0.999999 -0.000328254
0.22e-6 0.28e-6 0.60 0.0204705 36.1827 207555 0.999999 -0.000307609
0.22e-6 0.28e-6 0.65 0.0250348 37.0991 256325 0.999999 -0.000290792
0.22e-6 0.28e-6 0.70 0.0233843 35.9353 196060 0.999999 -0.000278218
0.22e-6 0.28e-6 0.75 0.0200347 34.2069 131673 0.999998 -0.000269247
0.22e-6 0.28e-6 0.80 0.0175991 32.8186 95631.9 0.999998 -0.000262932
0.22e-6 0.28e-6 0.90 0.0151009 31.179 65545.1 0.999997 -0.000255381
0.22e-6 0.28e-6 1.00 0.0139389 30.316 53723.4 0.999997 -0.000251382
0.22e-6 0.28e-6 1.10 0.0132455 29.7621 47284.9 0.999997 -0.000248787
0.22e-6 0.28e-6 1.20 0.0127818 29.3696 43194.4 0.999997 -0.000246841
0.22e-6 0.36e-6 0.35 0.000493177 12.1209 764.814 0.999993 -0.000359608
0.22e-6 0.36e-6 0.40 0.000907169 15.8109 1855.73 0.999994 -0.000350335
0.22e-6 0.36e-6 0.45 0.0017594 19.8274 4755.14 0.999996 -0.000335987
0.22e-6 0.36e-6 0.50 0.00343605 23.7409 11781.9 0.999997 -0.000315401
0.22e-6 0.36e-6 0.55 0.00654303 27.4584 27799 0.999997 -0.000289544
0.22e-6 0.36e-6 0.60 0.0117722 30.926 61832.7 0.999998 -0.000261705
0.22e-6 0.36e-6 0.65 0.0192583 33.9271 123453 0.999998 -0.000235904
0.22e-6 0.36e-6 0.70 0.0268523 35.898 194381 0.999998 -0.000214804
