VSG NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.35 0.00131146 1.42992 19.4957 0.999159 0.0116029
0.40 0.00224231 3.2148 54.8194 0.999458 0.0118945
0.45 0.0038759 6.11236 154.265 0.999634 0.0123556
0.50 0.00661943 9.63573 409.755 0.999729 0.0130435
0.55 0.0111364 13.2978 1018.38 0.999777 0.0139444
0.60 0.0182333 16.8048 2345.64 0.999799 0.0149572
0.65 0.027719 19.7572 4677.84 0.999805 0.0159342
0.70 0.0349253 21.2171 6566.77 0.999798 0.0167593
0.75 0.0336465 20.498 5557.07 0.999779 0.0173908
0.80 0.0286015 18.8204 3760.46 0.999753 0.0178462
0.90 0.022224 16.3384 2101.67 0.999709 0.0183827
1.00 0.0197475 15.1734 1595.41 0.999684 0.0186475
1.10 0.0185615 14.5526 1376.22 0.999668 0.0188026
1.20 0.017865 14.1615 1253.42 0.999657 0.0189098
