VSG NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.35 0.0146729 17.6182 2839.27 0.99994 0.000262894
0.40 0.0241819 21.9017 7697.06 0.999964 0.00027468
0.45 0.0389968 26.0217 19955.3 0.999977 0.000291503
0.50 0.0611081 29.8969 48776.5 0.999986 0.000312476
0.55 0.0920573 33.4285 110058 0.99999 0.000334888
0.60 0.126811 36.1831 207573 0.999993 0.000355531
0.65 0.141312 37.0994 256347 0.999994 0.000372347
0.70 0.12386 35.9357 196077 0.999993 0.00038492
0.75 0.101671 34.2073 131685 0.999991 0.000393889
0.80 0.0867506 32.819 95640.3 0.999989 0.000400203
0.90 0.0719282 31.1794 65550.9 0.999987 0.000407752
1.00 0.0651758 30.3164 53728.1 0.999986 0.00041175
1.10 0.0611817 29.7625 47289 0.999985 0.000414344
1.20 0.058502 29.37 43198.2 0.999984 0.000416289
