W_m,L_m,VSG,ID_A,JD_mA_per_um,NFmin_dB,NF_dB,Rn,SOpt_real,SOpt_imag,W_um,L_um
1e-05,5e-07,0.39,8.91305e-11,8.91305e-09,0.00511886,4.20524,81.6672,0.99916,0.0154154,10.0,0.5
5e-06,5e-07,0.39,4.72844e-11,9.45688e-09,0.00512701,6.25405,161.043,0.999606,0.00744149,5.0,0.5
1e-06,5e-07,0.385,1.25223e-11,1.25223e-08,0.00521823,12.054,752.359,0.99992,0.00104012,1.0,0.5
2.2e-07,5e-07,0.365,5.31432e-12,2.4156e-08,0.00661171,18.958,3883.45,0.99998,-0.000220088,0.22,0.5
1e-05,3.6e-07,0.36,1.10796e-10,1.10796e-08,0.00820619,7.29231,218.029,0.999456,0.0149056,10.0,0.36
5e-06,3.6e-07,0.36,5.94967e-11,1.18993e-08,0.00822134,9.81881,429.563,0.999754,0.00718295,5.0,0.36
1e-06,3.6e-07,0.35,1.49693e-11,1.49693e-08,0.00837516,16.1815,2025.48,0.999952,0.000980716,1.0,0.36
2.2e-07,3.6e-07,0.35,9.69283e-12,4.40583e-08,0.0106694,22.9034,9706.94,0.999987,-0.000225668,0.22,0.36
1e-05,2.8e-07,0.35,4.22419e-10,4.22419e-08,0.0128407,10.2791,483.165,0.99958,0.0150838,10.0,0.28
5e-06,2.8e-07,0.35,2.28023e-10,4.56047e-08,0.0129376,13.0675,963.245,0.999819,0.0072767,5.0,0.28
1e-06,2.8e-07,0.35,7.6347e-11,7.6347e-08,0.0137582,19.8618,4793.44,0.999966,0.00102171,1.0,0.28
2.2e-07,2.8e-07,0.35,4.98425e-11,2.26557e-07,0.0185446,27.2139,26274.3,0.999992,-0.000212929,0.22,0.28
