VDS_set_V W_m L_m VBIAS_set_V VGS_actual_V VDS_actual_V VBS_actual_V ID_A JD_mA_per_um Pdc_mW gm_S gds_S gm_ID_1_per_V ro_Ohm gmro inv_gm_Ohm NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag SOpt_mag
5.0 50e-6 0.60e-6 0.5 0.5 5 0 1.66874E-08 3.33748E-07 8.34371E-05 3.93521E-07 1.58214E-09 23.5819 632057000 248.727 2541160 24.3715 63.672 1.16265E+08 0.996727 0.0801172 0.999941
5.0 50e-6 0.60e-6 0.505 0.505 5 0 1.88162E-08 3.76324E-07 9.40811E-05 4.43185E-07 1.78388E-09 23.5534 560575000 248.438 2256390 23.8598 62.6455 9.17889E+07 0.996709 0.0802477 0.999934
5.0 50e-6 0.60e-6 0.51 0.51 5 0 2.12134E-08 4.24268E-07 0.000106067 4.99005E-07 2.01103E-09 23.5231 497257000 248.134 2003990 23.3493 61.6211 7.25013E+07 0.99669 0.0803818 0.999926
5.0 50e-6 0.60e-6 0.515 0.515 5 0 2.39122E-08 4.78244E-07 0.000119561 5.61721E-07 2.26671E-09 23.491 441167000 247.813 1780240 22.8402 60.599 5.72964E+07 0.996669 0.0805194 0.999917
5.0 50e-6 0.60e-6 0.52 0.52 5 0 2.69498E-08 5.38996E-07 0.000134749 6.3216E-07 2.55444E-09 23.4569 391475000 247.475 1581880 22.3326 59.5793 4.53053E+07 0.996648 0.0806606 0.999906
5.0 50e-6 0.60e-6 0.525 0.525 5 0 3.03679E-08 6.07357E-07 0.000151839 7.11244E-07 2.87814E-09 23.4209 347446000 247.119 1405990 21.8265 58.5621 3.58447E+07 0.996624 0.0808054 0.999895
5.0 50e-6 0.60e-6 0.53 0.53 5 0 3.4213E-08 6.84259E-07 0.000171065 7.99997E-07 3.2422E-09 23.3829 308433000 246.745 1250000 21.3221 57.5477 2.83772E+07 0.996599 0.080954 0.999881
5.0 50e-6 0.60e-6 0.535 0.535 5 0 3.85373E-08 7.70745E-07 0.000192686 8.99561E-07 3.65153E-09 23.3426 273858000 246.352 1111650 20.8194 56.5361 2.24802E+07 0.996572 0.0811064 0.999867
5.0 50e-6 0.60e-6 0.54 0.54 5 0 4.3399E-08 8.67979E-07 0.000216995 1.0112E-06 4.11159E-09 23.3002 243215000 245.939 988921 20.3186 55.5275 1.78211E+07 0.996543 0.0812626 0.99985
5.0 50e-6 0.60e-6 0.545 0.545 5 0 4.88631E-08 9.77263E-07 0.000244316 1.13633E-06 4.62852E-09 23.2554 216052000 245.506 880025 19.8199 54.5222 1.4138E+07 0.996511 0.0814226 0.999832
5.0 50e-6 0.60e-6 0.55 0.55 5 0 5.50024E-08 1.10005E-06 0.000275012 1.27651E-06 5.20911E-09 23.2082 191971000 245.052 783389 19.3233 53.5202 1.12249E+07 0.996477 0.0815865 0.999812
5.0 50e-6 0.60e-6 0.555 0.555 5 0 6.18977E-08 1.23795E-06 0.000309488 1.43346E-06 5.86096E-09 23.1585 170620000 244.577 697615 18.829 52.5219 8.91944E+06 0.99644 0.0817544 0.999789
5.0 50e-6 0.60e-6 0.56 0.56 5 0 6.96393E-08 1.39279E-06 0.000348197 1.6091E-06 6.59252E-09 23.1061 151687000 244.079 621467 18.3373 51.5274 7.09369E+06 0.996401 0.0819262 0.999763
5.0 50e-6 0.60e-6 0.565 0.565 5 0 7.83278E-08 1.56656E-06 0.000391639 1.80554E-06 7.41318E-09 23.0511 134895000 243.559 553850 17.8481 50.5369 5.6469E+06 0.996357 0.082102 0.999734
5.0 50e-6 0.60e-6 0.57 0.57 5 0 8.80749E-08 1.7615E-06 0.000440375 2.02514E-06 8.33337E-09 22.9933 120000000 243.015 493794 17.3619 49.5507 4.4996E+06 0.996311 0.0822819 0.999702
5.0 50e-6 0.60e-6 0.575 0.575 5 0 9.90051E-08 1.9801E-06 0.000495026 2.27045E-06 9.36467E-09 22.9326 1.06784E+08 242.448 440442 16.8786 48.5691 3.58912E+06 0.99626 0.0824658 0.999667
5.0 50e-6 0.60e-6 0.58 0.58 5 0 1.11257E-07 2.22513E-06 0.000556283 2.54432E-06 1.05199E-08 22.869 95057700 241.857 393032 16.3986 47.5922 2.86602E+06 0.996204 0.0826537 0.999627
5.0 50e-6 0.60e-6 0.585 0.585 5 0 1.24982E-07 2.49965E-06 0.000624912 2.84988E-06 1.18133E-08 22.8022 84650100 241.242 350892 15.922 46.6204 2.29126E+06 0.996144 0.0828457 0.999583
5.0 50e-6 0.60e-6 0.59 0.59 5 0 1.40353E-07 2.80706E-06 0.000701764 3.19055E-06 1.32606E-08 22.7323 75411300 240.603 313426 15.4492 45.6539 1.834E+06 0.996078 0.0830418 0.999534
5.0 50e-6 0.60e-6 0.595 0.595 5 0 1.57556E-07 3.15112E-06 0.000787781 3.5701E-06 1.48791E-08 22.6592 67208200 239.94 280104 14.9802 44.6931 1.4699E+06 0.996007 0.0832419 0.999479
5.0 50e-6 0.60e-6 0.6 0.6 5 0 1.76801E-07 3.53601E-06 0.000884003 3.99265E-06 1.6688E-08 22.5828 59923200 239.252 250460 14.5155 43.7382 1.17968E+06 0.995929 0.0834461 0.999419
5.0 50e-6 0.60e-6 0.605 0.605 5 0 1.98317E-07 3.96634E-06 0.000991584 4.46271E-06 1.87084E-08 22.503 53452000 238.541 224079 14.0553 42.7896 948132 0.995845 0.0836542 0.999352
5.0 50e-6 0.60e-6 0.61 0.61 5 0 2.22359E-07 4.44718E-06 0.00111179 4.98522E-06 2.09634E-08 22.4197 47702200 237.806 200593 13.5998 41.8476 763184 0.995752 0.0838664 0.999278
5.0 50e-6 0.60e-6 0.615 0.615 5 0 2.49208E-07 4.98416E-06 0.00124604 5.56554E-06 2.34785E-08 22.3329 4.25921E+07 237.048 179677 13.1493 40.9126 615293 0.995652 0.0840825 0.999196
5.0 50e-6 0.60e-6 0.62 0.62 5 0 2.79172E-07 5.58345E-06 0.00139586 6.20953E-06 2.62816E-08 22.2426 38049400 236.269 161043 12.7042 39.9849 496892 0.995542 0.0843024 0.999105
5.0 50e-6 0.60e-6 0.625 0.625 5 0 3.12593E-07 6.25187E-06 0.00156297 6.92354E-06 2.94033E-08 22.1487 34009700 235.468 144435 12.2648 39.0649 401983 0.995423 0.0845263 0.999005
5.0 50e-6 0.60e-6 0.63 0.63 5 0 3.49844E-07 6.99689E-06 0.00174922 7.71448E-06 3.2877E-08 22.0512 30416400 234.647 129626 11.8314 38.153 325803 0.995293 0.0847538 0.998895
