VDS_set_V W_m L_m VBIAS_set_V VGS_actual_V VDS_actual_V VBS_actual_V ID_A JD_mA_per_um Pdc_mW gm_S gds_S gm_ID_1_per_V ro_Ohm gmro inv_gm_Ohm NFmin_dB NF_dB Rn_Ohm SOpt_real SOpt_imag SOpt_mag
5.0 4e-6 0.60e-6 0.5 0.5 5 0 1.38658E-10 3.46645E-08 6.93289E-07 3.19828E-09 1.26976E-11 23.066 7.87549E+10 251.88 312668000 0.00313775 7.00267 200.687 0.99921 0.0349338 0.99982
5.0 4e-6 0.60e-6 0.505 0.505 5 0 1.55968E-10 3.8992E-08 7.79839E-07 3.611E-09 1.43421E-11 23.1522 6.9725E+10 251.777 276932000 0.00333488 7.00268 200.687 0.999198 0.0349337 0.999809
5.0 4e-6 0.60e-6 0.51 0.51 5 0 1.75511E-10 4.38777E-08 8.77553E-07 4.07664E-09 1.61986E-11 23.2273 6.17338E+10 251.667 2.453E+08 0.0035443 7.00268 200.687 0.999186 0.0349337 0.999797
5.0 4e-6 0.60e-6 0.515 0.515 5 0 1.97573E-10 4.93932E-08 9.87864E-07 4.60195E-09 1.82943E-11 23.2924 5.46618E+10 251.551 217299000 0.00376677 7.00269 200.687 0.999174 0.0349338 0.999784
5.0 4e-6 0.60e-6 0.52 0.52 5 0 2.22476E-10 5.56191E-08 1.11238E-06 5.19447E-09 2.06599E-11 23.3484 4.84029E+10 251.428 1.92512E+08 0.0040031 7.00269 200.688 0.99916 0.0349339 0.999771
5.0 4e-6 0.60e-6 0.525 0.525 5 0 2.50585E-10 6.26463E-08 1.25293E-06 5.86273E-09 2.33299E-11 23.3961 4.28635E+10 251.297 1.70569E+08 0.00425412 7.0027 200.688 0.999146 0.0349342 0.999756
5.0 4e-6 0.60e-6 0.53 0.53 5 0 2.82309E-10 7.05772E-08 1.41154E-06 6.61629E-09 2.6343E-11 23.4364 3.79607E+10 251.159 1.51142E+08 0.00452073 7.0027 200.688 0.99913 0.0349345 0.999741
5.0 4e-6 0.60e-6 0.535 0.535 5 0 3.18108E-10 7.95269E-08 1.59054E-06 7.4659E-09 2.97432E-11 23.4697 3.36212E+10 251.012 133942000 0.00480389 7.00271 200.689 0.999114 0.034935 0.999725
5.0 4e-6 0.60e-6 0.54 0.54 5 0 3.58502E-10 8.96254E-08 1.79251E-06 8.42366E-09 3.35795E-11 23.4969 2.97801E+10 250.857 118713000 0.0051046 7.00272 200.689 0.999097 0.0349355 0.999708
5.0 4e-6 0.60e-6 0.545 0.545 5 0 4.04074E-10 1.01019E-07 2.02037E-06 9.50314E-09 3.79074E-11 23.5183 2.63801E+10 250.693 1.05228E+08 0.00542393 7.00273 200.69 0.999079 0.0349361 0.999689
5.0 4e-6 0.60e-6 0.55 0.55 5 0 4.55484E-10 1.13871E-07 2.27742E-06 1.07196E-08 4.27894E-11 23.5345 2.33703E+10 250.52 9.32871E+07 0.00576299 7.00274 200.69 0.999059 0.0349368 0.99967
5.0 4e-6 0.60e-6 0.555 0.555 5 0 5.1347E-10 1.28368E-07 2.56735E-06 1.20901E-08 4.82956E-11 23.5459 2.07058E+10 250.336 82712200 0.00612299 7.00275 200.691 0.999039 0.0349377 0.999649
5.0 4e-6 0.60e-6 0.56 0.56 5 0 5.78866E-10 1.44716E-07 2.89433E-06 1.36339E-08 5.45048E-11 23.5528 1.8347E+10 250.142 73346500 0.00650518 7.00276 200.692 0.999017 0.0349386 0.999627
5.0 4e-6 0.60e-6 0.565 0.565 5 0 6.52606E-10 1.63151E-07 3.26303E-06 1.53725E-08 6.15058E-11 23.5556 1.62586E+10 249.936 65051100 0.00691088 7.00278 200.692 0.998993 0.0349396 0.999604
5.0 4e-6 0.60e-6 0.57 0.57 5 0 7.35742E-10 1.83936E-07 3.67871E-06 1.73301E-08 6.93983E-11 23.5546 1.44096E+10 249.719 57703100 0.0073415 7.00279 200.693 0.998969 0.0349408 0.99958
5.0 4e-6 0.60e-6 0.575 0.575 5 0 8.29458E-10 2.07364E-07 4.14729E-06 1.95336E-08 7.82942E-11 23.5498 1.27723E+10 249.49 5.11938E+07 0.00779853 7.00281 200.694 0.998943 0.0349421 0.999553
5.0 4e-6 0.60e-6 0.58 0.58 5 0 9.3508E-10 2.3377E-07 4.6754E-06 2.20134E-08 8.83193E-11 23.5417 1.13226E+10 249.247 45427000 0.00828353 7.00283 200.695 0.998915 0.0349435 0.999526
5.0 4e-6 0.60e-6 0.585 0.585 5 0 1.0541E-09 2.63525E-07 5.27049E-06 2.48032E-08 9.96147E-11 23.5303 1.00387E+10 248.992 4.03173E+07 0.00879814 7.00286 200.697 0.998885 0.0349451 0.999496
5.0 4e-6 0.60e-6 0.59 0.59 5 0 1.18819E-09 2.97047E-07 5.94094E-06 2.79411E-08 1.12339E-10 23.5157 8.90164E+09 248.722 35789600 0.0093441 7.00288 200.698 0.998854 0.0349467 0.999465
5.0 4e-6 0.60e-6 0.595 0.595 5 0 1.33922E-09 3.34806E-07 6.69612E-06 3.14693E-08 1.26669E-10 23.4981 7.89458E+09 248.437 3.1777E+07 0.00992326 7.00291 200.7 0.998821 0.0349486 0.999432
