VCM ID_A JD_N_mA_per_um JD_P_mA_per_um VOUT_DC
0.30 8.61766E-10 3.91712E-06 1.30571E-06 1.79999
0.35 3.26873E-09 1.48579E-05 4.95263E-06 1.79994
0.40 1.18224E-08 5.37384E-05 1.79128E-05 1.79979
0.45 3.95287E-08 0.000179676 5.9892E-05 1.79924
0.50 1.18284E-07 0.000537654 0.000179218 1.79756
0.55 3.08017E-07 0.00140008 0.000466693 1.7931
0.60 6.84935E-07 0.00311334 0.00103778 1.78305
0.65 1.30377E-06 0.00592623 0.00197541 1.76345
0.70 2.17264E-06 0.00987563 0.00329188 1.72794
0.75 3.25253E-06 0.0147842 0.00492808 1.65987
0.80 4.2081E-06 0.0191277 0.00637591 1.29444
0.85 3.72315E-06 0.0169234 0.00564113 0.221183
0.90 2.64598E-06 0.0120272 0.00400907 0.0899438
0.95 1.71894E-06 0.00781335 0.00260445 0.0454457
1.00 1.00385E-06 0.00456296 0.00152099 0.0223839
1.05 5.13478E-07 0.00233399 0.000777996 0.0100676
1.10 2.263E-07 0.00102864 0.00034288 0.00400245
1.15 8.68321E-08 0.000394691 0.000131564 0.00140857
1.20 2.99864E-08 0.000136302 4.54339E-05 0.000451199
1.25 9.56155E-09 4.34616E-05 1.44872E-05 0.000134542
1.30 2.8484E-09 1.29473E-05 4.31575E-06 3.77221E-05
1.35 8.04869E-10 3.6585E-06 1.2195E-06 1.00853E-05
1.40 2.20352E-10 1.0016E-06 3.33867E-07 2.62427E-06
1.45 6.00387E-11 2.72903E-07 9.09678E-08 6.82271E-07
1.50 1.71432E-11 7.79236E-08 2.59745E-08 1.86526E-07
