W_m L_m VGS ID_A JD_mA_per_um
0.22e-6 0.28e-6 0.35 3.26888E-09 1.48586E-05
0.22e-6 0.28e-6 0.40 1.18245E-08 5.37475E-05
0.22e-6 0.28e-6 0.45 3.95513E-08 0.000179779
0.22e-6 0.28e-6 0.50 1.1848E-07 0.000538546
0.22e-6 0.28e-6 0.55 3.09265E-07 0.00140575
0.22e-6 0.28e-6 0.60 6.90591E-07 0.00313905
0.22e-6 0.28e-6 0.65 1.32277E-06 0.00601259
0.22e-6 0.28e-6 0.70 2.22423E-06 0.0101101
0.22e-6 0.28e-6 0.75 3.37972E-06 0.0153624
0.22e-6 0.28e-6 0.80 4.75885E-06 0.0216311
0.22e-6 0.28e-6 0.90 8.06087E-06 0.0366403
0.22e-6 0.28e-6 1.00 1.19162E-05 0.0541644
0.22e-6 0.28e-6 1.10 1.61763E-05 0.0735287
0.22e-6 0.28e-6 1.20 2.07399E-05 0.0942721
0.22e-6 0.36e-6 0.35 5.52247E-10 2.51022E-06
0.22e-6 0.36e-6 0.40 2.08755E-09 9.48884E-06
0.22e-6 0.36e-6 0.45 7.5458E-09 3.42991E-05
0.22e-6 0.36e-6 0.50 2.54023E-08 0.000115465
0.22e-6 0.36e-6 0.55 7.76319E-08 0.000352872
0.22e-6 0.36e-6 0.60 2.09345E-07 0.000951569
0.22e-6 0.36e-6 0.65 4.8373E-07 0.00219877
0.22e-6 0.36e-6 0.70 9.52753E-07 0.00433069
0.22e-6 0.36e-6 0.75 1.63599E-06 0.00743633
0.22e-6 0.36e-6 0.80 2.52623E-06 0.0114829
0.22e-6 0.36e-6 0.90 4.84639E-06 0.0220291
0.22e-6 0.36e-6 1.00 7.74659E-06 0.0352118
0.22e-6 0.36e-6 1.10 1.10933E-05 0.0504242
0.22e-6 0.36e-6 1.20 1.47894E-05 0.0672246
0.22e-6 0.50e-6 0.35 1.68806E-10 7.67298E-07
0.22e-6 0.50e-6 0.40 6.44141E-10 2.92792E-06
0.22e-6 0.50e-6 0.45 2.39002E-09 1.08637E-05
0.22e-6 0.50e-6 0.50 8.41038E-09 3.8229E-05
0.22e-6 0.50e-6 0.55 2.74359E-08 0.000124709
0.22e-6 0.50e-6 0.60 8.10201E-08 0.000368273
0.22e-6 0.50e-6 0.65 2.08977E-07 0.000949895
0.22e-6 0.50e-6 0.70 4.57689E-07 0.0020804
0.22e-6 0.50e-6 0.75 8.57196E-07 0.00389634
0.22e-6 0.50e-6 0.80 1.41454E-06 0.00642972
0.22e-6 0.50e-6 0.90 2.9681E-06 0.0134914
0.22e-6 0.50e-6 1.00 5.02106E-06 0.022823
0.22e-6 0.50e-6 1.10 7.48159E-06 0.0340072
0.22e-6 0.50e-6 1.20 1.02778E-05 0.0467175
1e-6 0.28e-6 0.35 2.90789E-09 2.90789E-06
1e-6 0.28e-6 0.40 1.10619E-08 1.10619E-05
1e-6 0.28e-6 0.45 4.01502E-08 4.01502E-05
1e-6 0.28e-6 0.50 1.34962E-07 0.000134962
1e-6 0.28e-6 0.55 4.07005E-07 0.000407005
1e-6 0.28e-6 0.60 1.07134E-06 0.00107134
1e-6 0.28e-6 0.65 2.41488E-06 0.00241488
1e-6 0.28e-6 0.70 4.66731E-06 0.00466731
1e-6 0.28e-6 0.75 7.90881E-06 0.00790881
1e-6 0.28e-6 0.80 1.20936E-05 0.0120936
1e-6 0.28e-6 0.90 2.28593E-05 0.0228593
1e-6 0.28e-6 1.00 3.60987E-05 0.0360987
1e-6 0.28e-6 1.10 5.11496E-05 0.0511496
1e-6 0.28e-6 1.20 6.75551E-05 0.0675551
1e-6 0.36e-6 0.35 4.46888E-10 4.46888E-07
1e-6 0.36e-6 0.40 1.73815E-09 1.73815E-06
1e-6 0.36e-6 0.45 6.60794E-09 6.60794E-06
1e-6 0.36e-6 0.50 2.4061E-08 2.4061E-05
1e-6 0.36e-6 0.55 8.18457E-08 8.18457E-05
1e-6 0.36e-6 0.60 2.53624E-07 0.000253624
1e-6 0.36e-6 0.65 6.96426E-07 0.000696426
1e-6 0.36e-6 0.70 1.64304E-06 0.00164304
1e-6 0.36e-6 0.75 3.29919E-06 0.00329919
1e-6 0.36e-6 0.80 5.75343E-06 0.00575343
1e-6 0.36e-6 0.90 1.29377E-05 0.0129377
1e-6 0.36e-6 1.00 2.26533E-05 0.0226533
1e-6 0.36e-6 1.10 3.43296E-05 0.0343296
1e-6 0.36e-6 1.20 4.75358E-05 0.0475358
1e-6 0.50e-6 0.35 1.26595E-10 1.26595E-07
1e-6 0.50e-6 0.40 4.92259E-10 4.92259E-07
1e-6 0.50e-6 0.45 1.89657E-09 1.89657E-06
