W_m L_m VGS NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.28e-6 0.35 0.124613 36.1273 204926 0.999993 0.000213001
0.22e-6 0.28e-6 0.40 0.193066 39.9265 491564 0.999995 0.000217013
0.22e-6 0.28e-6 0.45 0.188744 39.7245 469222 0.999995 0.000225896
0.22e-6 0.28e-6 0.50 0.133072 36.6785 232662 0.999993 0.000242089
0.22e-6 0.28e-6 0.55 0.0921027 33.4632 110942 0.99999 0.00026671
0.22e-6 0.28e-6 0.60 0.0692888 30.9618 62345.7 0.999987 0.000297043
0.22e-6 0.28e-6 0.65 0.0572815 29.2742 42254.7 0.999984 0.000326819
0.22e-6 0.28e-6 0.70 0.0509094 28.2179 33121 0.999982 0.000350698
0.22e-6 0.28e-6 0.75 0.047455 27.5833 28611.4 0.999981 0.000367309
0.22e-6 0.28e-6 0.80 0.0455668 27.2141 26275.5 0.99998 0.000378046
0.22e-6 0.28e-6 0.90 0.0440661 26.9051 24467.9 0.999979 0.000389363
0.22e-6 0.28e-6 1.00 0.0439267 26.8688 24263.7 0.999979 0.000394774
0.22e-6 0.28e-6 1.10 0.0443632 26.9493 24718.5 0.999979 0.000398159
0.22e-6 0.28e-6 1.20 0.0450766 27.0839 25498.1 0.99998 0.000400811
0.22e-6 0.36e-6 0.35 0.0602625 29.822 47942.4 0.999985 0.000250461
0.22e-6 0.36e-6 0.40 0.110173 35.0572 160159 0.999992 0.000252197
0.22e-6 0.36e-6 0.45 0.18024 39.3277 428240 0.999995 0.00025768
0.22e-6 0.36e-6 0.50 0.213987 40.8099 602450 0.999996 0.000269538
0.22e-6 0.36e-6 0.55 0.16769 38.6754 368515 0.999995 0.000290642
0.22e-6 0.36e-6 0.60 0.115125 35.3779 172440 0.999992 0.000321824
0.22e-6 0.36e-6 0.65 0.0841209 32.6066 91074.1 0.999989 0.000359018
0.22e-6 0.36e-6 0.70 0.0679303 30.6968 58651.2 0.999987 0.000394431
0.22e-6 0.36e-6 0.75 0.059323 29.4725 44231 0.999984 0.000422162
0.22e-6 0.36e-6 0.80 0.0544995 28.7005 37020 0.999983 0.000441151
0.22e-6 0.36e-6 0.90 0.0499121 27.8975 30762.3 0.999981 0.000461019
0.22e-6 0.36e-6 1.00 0.0481509 27.568 28511.1 0.99998 0.000469545
0.22e-6 0.36e-6 1.10 0.0475478 27.449 27738.8 0.99998 0.000474193
0.22e-6 0.36e-6 1.20 0.0475168 27.4368 27660.9 0.99998 0.00047748
0.22e-6 0.50e-6 0.35 0.0356879 25.2803 16815.7 0.999976 0.000317757
0.22e-6 0.50e-6 0.40 0.0657005 30.57 56962.8 0.999987 0.000318439
0.22e-6 0.50e-6 0.45 0.113963 35.3471 171219 0.999992 0.000322878
0.22e-6 0.50e-6 0.50 0.173377 38.9819 395460 0.999995 0.00033402
0.22e-6 0.50e-6 0.55 0.199549 40.1835 521525 0.999996 0.00035568
0.22e-6 0.50e-6 0.60 0.163089 38.3917 345205 0.999994 0.000390613
0.22e-6 0.50e-6 0.65 0.118089 35.5207 178205 0.999992 0.00043662
0.22e-6 0.50e-6 0.70 0.0906672 33.1376 102924 0.99999 0.000485013
0.22e-6 0.50e-6 0.75 0.0758877 31.504 70641.5 0.999987 0.000526104
0.22e-6 0.50e-6 0.80 0.0676225 30.4319 55177.5 0.999986 0.000555692
0.22e-6 0.50e-6 0.90 0.059451 29.2319 41844.6 0.999983 0.000587156
0.22e-6 0.50e-6 1.00 0.055742 28.6369 36480.6 0.999982 0.000600036
0.22e-6 0.50e-6 1.10 0.0538342 28.316 33878.5 0.999982 0.000606461
0.22e-6 0.50e-6 1.20 0.0528368 28.1414 32542.2 0.999981 0.000610644
1e-6 0.28e-6 0.35 0.0275267 22.9753 9869.69 0.999967 0.000963211
1e-6 0.28e-6 0.40 0.0511423 28.3334 34015.2 0.999982 0.000968163
1e-6 0.28e-6 0.45 0.0839214 32.6185 91322.6 0.999989 0.000985519
1e-6 0.28e-6 0.50 0.0938324 33.5636 113539 0.99999 0.00102452
1e-6 0.28e-6 0.55 0.0708774 31.0816 64089.6 0.999987 0.00109626
1e-6 0.28e-6 0.60 0.0499083 27.9526 31155.2 0.999981 0.00120642
1e-6 0.28e-6 0.65 0.0378189 25.4186 17361.1 0.999974 0.00134365
1e-6 0.28e-6 0.70 0.0314755 23.6778 11611.2 0.999968 0.00147987
1e-6 0.28e-6 0.75 0.0281363 22.5712 8988.41 0.999963 0.00159009
1e-6 0.28e-6 0.80 0.0263209 21.8929 7681.36 0.999959 0.00166723
